Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.12 07:00:00,2_77108047158E-05
2024.08.12 08:00:00,3_24593238474E-05
2024.08.12 09:00:00,3_59234363714E-05
2024.08.12 10:00:00,3_84780214517E-05
2024.08.12 11:00:00,3_91559733544E-05
2024.08.12 12:00:00,3_95080896851E-05
2024.08.12 13:00:00,4_05361279263E-05
2024.08.12 14:00:00,4_10402426496E-05
2024.08.12 15:00:00,4_1172868805E-05
2024.08.12 16:00:00,4_04102065659E-05
2024.08.12 17:00:00,3_83353872166E-05
2024.08.12 18:00:00,3_71567730326E-05
2024.08.12 19:00:00,3_59682271664E-05
2024.08.12 20:00:00,3_49109504896E-05
2024.08.12 21:00:00,3_38435784215E-05
2024.08.12 22:00:00,3_27159323206E-05
2024.08.12 23:00:00,3_18424827128E-05
2024.08.13 00:00:00,3_09462993755E-05
2024.08.13 01:00:00,3_00366846204E-05
2024.08.13 02:00:00,2_9078199077E-05
2024.08.13 03:00:00,2_83488334389E-05
2024.08.13 04:00:00,2_76128848782E-05
2024.08.13 05:00:00,2_67726954917E-05
2024.08.13 06:00:00,2_59989865299E-05
2024.08.13 07:00:00,2_5358152925E-05
2024.08.13 08:00:00,2_46941945079E-05
2024.08.13 09:00:00,2_42996411544E-05
2024.08.13 10:00:00,2_36006253544E-05
2024.08.13 11:00:00,2_29045417655E-05
2024.08.13 12:00:00,2_2304664526E-05
2024.08.13 13:00:00,2_18033092096E-05
2024.08.13 14:00:00,2_13948114833E-05
2024.08.13 15:00:00,2_09729460039E-05
2024.08.13 16:00:00,2_0451936507E-05
2024.08.13 17:00:00,1_99298701773E-05
2024.08.13 18:00:00,1_95157626877E-05
2024.08.13 19:00:00,1_91465132957E-05
2024.08.13 20:00:00,1_87603855011E-05
2024.08.13 21:00:00,1_83695719898E-05
2024.08.13 22:00:00,1_80258921318E-05
2024.08.13 23:00:00,1_77068268385E-05
2024.08.14 00:00:00,1_73565331352E-05
2024.08.14 01:00:00,1_70027051354E-05
2024.08.14 02:00:00,1_65282053786E-05
2024.08.14 03:00:00,1_62589840329E-05
2024.08.14 04:00:00,1_59872670338E-05
2024.08.14 05:00:00,1_57092745212E-05
2024.08.14 06:00:00,1_54340450536E-05
2024.08.14 07:00:00,1_51484409798E-05
2024.08.14 08:00:00,1_4863803699E-05
2024.08.14 09:00:00,1_45776093632E-05
2024.08.14 10:00:00,1_43043835124E-05
2024.08.14 11:00:00,1_40363008541E-05
2024.08.14 12:00:00,1_37804254337E-05
2024.08.14 13:00:00,1_35052641781E-05
2024.08.14 14:00:00,1_32113173095E-05
2024.08.14 15:00:00,1_2976988728E-05
2024.08.14 16:00:00,1_27593148136E-05
2024.08.14 17:00:00,1_2515142771E-05
2024.08.14 18:00:00,1_23060108308E-05
2024.08.14 19:00:00,1_21048142319E-05
2024.08.14 20:00:00,1_18974212455E-05
2024.08.14 21:00:00,1_17218478408E-05
2024.08.14 22:00:00,1_15345974336E-05
2024.08.14 23:00:00,1_13643600343E-05
2024.08.15 00:00:00,1_1198075299E-05
2024.08.15 01:00:00,1_10350219984E-05
2024.08.15 02:00:00,1_08795511551E-05
2024.08.15 03:00:00,1_07353789645E-05
2024.08.15 04:00:00,1_05924254967E-05
2024.08.15 05:00:00,1_04562295746E-05
2024.08.15 06:00:00,1_03230904642E-05
2024.08.15 07:00:00,1_01931564132E-05
2024.08.15 08:00:00,1_00621382444E-05
2024.08.15 09:00:00,9_92714558379E-06
2024.08.15 10:00:00,9_80056302069E-06
2024.08.15 11:00:00,9_6597314041E-06
2024.08.15 12:00:00,9_52997652348E-06
2024.08.15 13:00:00,9_38355151447E-06
2024.08.15 14:00:00,9_23977404454E-06
2024.08.15 15:00:00,9_10899143491E-06
2024.08.15 16:00:00,8_96989149624E-06
2024.08.15 17:00:00,8_87590158527E-06
2024.08.15 18:00:00,8_78402533999E-06
2024.08.15 19:00:00,8_71286829351E-06
2024.08.15 20:00:00,8_63854711497E-06
2024.08.15 21:00:00,8_56940187077E-06
2024.08.15 22:00:00,8_50424476084E-06
2024.08.15 23:00:00,8_42944064061E-06
2024.08.16 00:00:00,8_35332957649E-06
2024.08.16 01:00:00,8_28423071653E-06
2024.08.16 02:00:00,8_22150195745E-06
2024.08.16 03:00:00,8_14698432805E-06
2024.08.16 04:00:00,8_0786558101E-06
2024.08.16 05:00:00,8_01278110885E-06
2024.08.16 06:00:00,7_94561492512E-06
2024.08.16 07:00:00,7_8770908658E-06
2024.08.16 08:00:00,7_80087157182E-06
2024.08.16 09:00:00,7_71828763391E-06
2024.08.16 10:00:00,7_63048046792E-06
2024.08.16 11:00:00,7_53073845772E-06
2024.08.16 12:00:00,7_47505418985E-06
2024.08.16 13:00:00,7_42954625821E-06
2024.08.16 14:00:00,7_38639619158E-06
2024.08.16 15:00:00,7_31148520572E-06
2024.08.16 16:00:00,7_24304027244E-06
2024.08.16 17:00:00,7_17963030183E-06
2024.08.16 18:00:00,7_12667360858E-06
2024.08.16 19:00:00,7_09439564162E-06
2024.08.16 20:00:00,7_07895060259E-06
2024.08.16 21:00:00,7_06390983396E-06
2024.08.16 22:00:00,7_04431795384E-06
2024.08.16 23:00:00,7_02210127201E-06
2024.08.17 00:00:00,6_9911538958E-06
2024.08.17 01:00:00,6_96338702255E-06
2024.08.17 02:00:00,6_9302650445E-06
2024.08.17 03:00:00,6_88931186232E-06
2024.08.17 04:00:00,6_84709357301E-06
2024.08.17 05:00:00,6_80797938912E-06
2024.08.17 06:00:00,6_76280978951E-06
2024.08.17 07:00:00,6_6975194386E-06
2024.08.17 08:00:00,6_59475836073E-06
2024.08.17 09:00:00,6_5522604018E-06
2024.08.17 10:00:00,6_52116932542E-06
2024.08.17 11:00:00,6_50627589494E-06
2024.08.17 12:00:00,6_45785303277E-06
2024.08.17 13:00:00,6_40910866423E-06
2024.08.17 14:00:00,6_34160642221E-06
2024.08.17 15:00:00,6_29084252068E-06
2024.08.17 16:00:00,6_24580934527E-06
2024.08.17 17:00:00,6_22375364401E-06
2024.08.17 18:00:00,6_1791997723E-06
2024.08.17 19:00:00,6_16573788648E-06
2024.08.17 20:00:00,6_14233840679E-06
2024.08.17 21:00:00,6_1225518948E-06
2024.08.17 22:00:00,6_09847438682E-06
2024.08.17 23:00:00,6_08008167546E-06
2024.08.18 00:00:00,6_06056073593E-06
2024.08.18 01:00:00,6_03342414252E-06
2024.08.18 02:00:00,6_00907060289E-06
2024.08.18 03:00:00,5_98647920924E-06
2024.08.18 04:00:00,5_95960091232E-06
2024.08.18 05:00:00,5_93666891291E-06
2024.08.18 06:00:00,5_9098993006E-06
2024.08.18 07:00:00,5_87861404711E-06
2024.08.18 08:00:00,5_85124917052E-06
2024.08.18 09:00:00,5_8275286392E-06
2024.08.18 10:00:00,5_79114339416E-06
2024.08.18 11:00:00,5_77144237468E-06
2024.08.18 12:00:00,5_74277055421E-06
2024.08.18 13:00:00,5_71571035834E-06
2024.08.18 14:00:00,5_69005260331E-06
2024.08.18 15:00:00,5_66319113204E-06
2024.08.18 16:00:00,5_63141838938E-06
2024.08.18 17:00:00,5_6060789575E-06
2024.08.18 18:00:00,5_58207921131E-06
2024.08.18 19:00:00,5_5607347349E-06
2024.08.18 20:00:00,5_55053611606E-06
2024.08.18 21:00:00,5_5367877394E-06
2024.08.18 22:00:00,5_52231949769E-06
2024.08.18 23:00:00,5_49875358047E-06
2024.08.19 00:00:00,5_48769685338E-06
2024.08.19 01:00:00,5_45369539395E-06
2024.08.19 02:00:00,5_41266399523E-06
2024.08.19 03:00:00,5_41078179594E-06
2024.08.19 04:00:00,5_39433904123E-06
2024.08.19 05:00:00,5_37626647201E-06
2024.08.19 06:00:00,5_34897708349E-06
2024.08.19 07:00:00,5_33371712663E-06
2024.08.19 08:00:00,5_31582008989E-06
2024.08.19 09:00:00,5_2914419939E-06
2024.08.19 10:00:00,5_26845497006E-06
2024.08.19 11:00:00,5_24185588802E-06
2024.08.19 12:00:00,5_21725905855E-06
2024.08.19 13:00:00,5_20890444022E-06
2024.08.19 14:00:00,5_18484148415E-06
2024.08.19 15:00:00,5_16278259965E-06
2024.08.19 16:00:00,5_13208806296E-06
2024.08.19 17:00:00,5_11011603521E-06
2024.08.19 18:00:00,5_08967968926E-06
2024.08.19 19:00:00,5_06593460159E-06
2024.08.19 20:00:00,5_05849766341E-06
2024.08.19 21:00:00,5_05048456034E-06
2024.08.19 22:00:00,5_03725595991E-06
2024.08.19 23:00:00,5_02497641719E-06
2024.08.20 00:00:00,5_01394833918E-06
2024.08.20 01:00:00,4_99742873217E-06
2024.08.20 02:00:00,4_98366080137E-06
2024.08.20 03:00:00,4_96713209941E-06
2024.08.20 04:00:00,4_94824507768E-06
2024.08.20 05:00:00,4_9340546866E-06
2024.08.20 06:00:00,4_92479648528E-06
2024.08.20 07:00:00,4_90910178996E-06
2024.08.20 08:00:00,4_89692820338E-06
2024.08.20 09:00:00,4_88292971568E-06
2024.08.20 10:00:00,4_86867111249E-06
2024.08.20 11:00:00,4_84997235617E-06
2024.08.20 12:00:00,4_83781604999E-06
2024.08.20 13:00:00,4_82221366838E-06
2024.08.20 14:00:00,4_80622156829E-06
2024.08.20 15:00:00,4_79306800116E-06
2024.08.20 16:00:00,4_77482035421E-06
2024.08.20 17:00:00,4_76562354379E-06
2024.08.20 18:00:00,4_74981470688E-06
2024.08.20 19:00:00,4_73687214253E-06
2024.08.20 20:00:00,4_72982628708E-06
2024.08.20 21:00:00,4_72347574032E-06
2024.08.20 22:00:00,4_69616361443E-06
2024.08.20 23:00:00,4_69980250273E-06
2024.08.21 00:00:00,4_69080487164E-06
2024.08.21 01:00:00,4_67479867439E-06
2024.08.21 02:00:00,4_66491474072E-06
2024.08.21 03:00:00,4_65183802589E-06
2024.08.21 04:00:00,4_64023014501E-06
2024.08.21 05:00:00,4_63049445898E-06
2024.08.21 06:00:00,4_62103753307E-06
2024.08.21 07:00:00,4_60923183709E-06
2024.08.21 08:00:00,4_59435477751E-06
2024.08.21 09:00:00,4_58422027805E-06
2024.08.21 10:00:00,4_57275564258E-06
2024.08.21 11:00:00,4_56194311482E-06
2024.08.21 12:00:00,4_55341796624E-06
2024.08.21 13:00:00,4_53230131825E-06
2024.08.21 14:00:00,4_51717232863E-06
2024.08.21 15:00:00,4_50797597296E-06
2024.08.21 16:00:00,4_4905100367E-06
2024.08.21 17:00:00,4_47241563961E-06
2024.08.21 18:00:00,4_46490776085E-06
2024.08.21 19:00:00,4_45379964731E-06
2024.08.21 20:00:00,4_44843453806E-06
2024.08.21 21:00:00,4_44726083515E-06
2024.08.21 22:00:00,4_44734723715E-06
2024.08.21 23:00:00,4_44573015557E-06
2024.08.22 00:00:00,4_44297165814E-06
2024.08.22 01:00:00,4_43907583758E-06
2024.08.22 02:00:00,4_43503631686E-06
2024.08.22 03:00:00,4_42972032033E-06
2024.08.22 04:00:00,4_42323971583E-06
2024.08.22 05:00:00,1_12840107249E-05
2024.08.22 06:00:00,2_39831733779E-05
2024.08.22 07:00:00,3_74951923732E-05
2024.08.22 08:00:00,4_30345826317E-05
2024.08.22 09:00:00,4_55056833744E-05
2024.08.22 10:00:00,4_9583526561E-05
2024.08.22 11:00:00,4_89969934279E-05
2024.08.22 12:00:00,5_26575349795E-05
2024.08.22 13:00:00,5_37892919965E-05
2024.08.22 14:00:00,5_2538998716E-05
2024.08.22 15:00:00,5_22563968843E-05
2024.08.22 16:00:00,4_80259150208E-05
2024.08.22 17:00:00,4_46875055786E-05
2024.08.22 18:00:00,4_32739470853E-05
2024.08.22 19:00:00,4_2619627493E-05
2024.08.22 20:00:00,4_17460214521E-05
2024.08.22 21:00:00,4_10336106142E-05
2024.08.22 22:00:00,4_03376943723E-05
2024.08.22 23:00:00,3_92284164263E-05
2024.08.23 00:00:00,3_8186331949E-05
2024.08.23 01:00:00,3_7102985516E-05
2024.08.23 02:00:00,3_60636913683E-05
2024.08.23 03:00:00,3_51607850462E-05
2024.08.23 04:00:00,3_42377534253E-05
2024.08.23 05:00:00,4_01396682719E-05
2024.08.23 06:00:00,5_2512048569E-05
2024.08.23 07:00:00,6_5211483161E-05
2024.08.23 08:00:00,7_43405907997E-05
2024.08.23 09:00:00,8_00134221208E-05
2024.08.23 10:00:00,8_28154661576E-05
2024.08.23 11:00:00,8_36975159473E-05
2024.08.23 12:00:00,8_3706319856E-05
2024.08.23 13:00:00,8_35233586258E-05
2024.08.23 14:00:00,7_97524990048E-05
2024.08.23 15:00:00,7_77658715378E-05
2024.08.23 16:00:00,7_58679598221E-05
2024.08.23 17:00:00,7_31585314497E-05
2024.08.23 18:00:00,7_10396270733E-05
