Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.19 01:00:00,2_72643337667E-05
2024.08.19 02:00:00,2_7160071113E-05
2024.08.19 03:00:00,2_7100335501E-05
2024.08.19 04:00:00,2_70495947916E-05
2024.08.19 05:00:00,2_70142681984E-05
2024.08.19 06:00:00,2_69601132459E-05
2024.08.19 07:00:00,2_69051288342E-05
2024.08.19 08:00:00,2_68523217528E-05
2024.08.19 09:00:00,2_68336571025E-05
2024.08.19 10:00:00,2_68693220278E-05
2024.08.19 11:00:00,2_69145639322E-05
2024.08.19 12:00:00,2_69423089776E-05
2024.08.19 13:00:00,2_70612363238E-05
2024.08.19 14:00:00,2_73212990578E-05
2024.08.19 15:00:00,2_76000228041E-05
2024.08.19 16:00:00,2_78153693216E-05
2024.08.19 17:00:00,2_79052055703E-05
2024.08.19 18:00:00,2_78642928606E-05
2024.08.19 19:00:00,2_78361349046E-05
2024.08.19 20:00:00,2_7780792152E-05
2024.08.19 21:00:00,2_76751088677E-05
2024.08.19 22:00:00,2_75619859167E-05
2024.08.19 23:00:00,2_74796566373E-05
2024.08.20 00:00:00,2_73921068583E-05
2024.08.20 01:00:00,2_7302894523E-05
2024.08.20 02:00:00,2_71993249044E-05
2024.08.20 03:00:00,2_70889795502E-05
2024.08.20 04:00:00,2_70017389994E-05
2024.08.20 05:00:00,2_69247557299E-05
2024.08.20 06:00:00,2_68448347924E-05
2024.08.20 07:00:00,2_67440282187E-05
2024.08.20 08:00:00,2_66386450676E-05
2024.08.20 09:00:00,2_65504186245E-05
2024.08.20 10:00:00,2_64884874923E-05
2024.08.20 11:00:00,2_6436360713E-05
2024.08.20 12:00:00,2_63753172476E-05
2024.08.20 13:00:00,2_63297697529E-05
2024.08.20 14:00:00,2_62966877926E-05
2024.08.20 15:00:00,2_62849243882E-05
2024.08.20 16:00:00,2_62833546003E-05
2024.08.20 17:00:00,2_62884095719E-05
2024.08.20 18:00:00,2_62846551777E-05
2024.08.20 19:00:00,2_62543562712E-05
2024.08.20 20:00:00,2_61796740233E-05
2024.08.20 21:00:00,2_6075189453E-05
2024.08.20 22:00:00,2_59285716311E-05
2024.08.20 23:00:00,2_58115851466E-05
2024.08.21 00:00:00,2_57051669905E-05
2024.08.21 01:00:00,2_5580282454E-05
2024.08.21 02:00:00,2_54771875916E-05
2024.08.21 03:00:00,2_54096867138E-05
2024.08.21 04:00:00,2_53620837611E-05
2024.08.21 05:00:00,2_53244124906E-05
2024.08.21 06:00:00,2_52878271567E-05
2024.08.21 07:00:00,2_52492754953E-05
2024.08.21 08:00:00,2_52162280958E-05
2024.08.21 09:00:00,2_5184095648E-05
2024.08.21 10:00:00,2_5160055884E-05
2024.08.21 11:00:00,2_51398269029E-05
2024.08.21 12:00:00,2_51666751865E-05
2024.08.21 13:00:00,2_52471891145E-05
2024.08.21 14:00:00,2_5319874112E-05
2024.08.21 15:00:00,2_53942362178E-05
2024.08.21 16:00:00,2_55024151556E-05
2024.08.21 17:00:00,2_55821396422E-05
2024.08.21 18:00:00,2_55930099229E-05
2024.08.21 19:00:00,2_55478607869E-05
2024.08.21 20:00:00,2_54462829616E-05
2024.08.21 21:00:00,2_52894278674E-05
2024.08.21 22:00:00,2_50748744293E-05
2024.08.21 23:00:00,2_48285141424E-05
2024.08.22 00:00:00,2_46046674874E-05
2024.08.22 01:00:00,2_44412785833E-05
2024.08.22 02:00:00,2_43381218752E-05
2024.08.22 03:00:00,2_42510395765E-05
2024.08.22 04:00:00,2_41261332121E-05
2024.08.22 05:00:00,2_3957403755E-05
2024.08.22 06:00:00,2_37447457039E-05
2024.08.22 07:00:00,2_34601629927E-05
2024.08.22 08:00:00,2_30998521147E-05
2024.08.22 09:00:00,2_27212058235E-05
2024.08.22 10:00:00,2_23920324061E-05
2024.08.22 11:00:00,2_20518031711E-05
2024.08.22 12:00:00,2_16955941141E-05
2024.08.22 13:00:00,2_13991697819E-05
2024.08.22 14:00:00,2_11821243283E-05
2024.08.22 15:00:00,2_10642028833E-05
2024.08.22 16:00:00,2_10555499507E-05
2024.08.22 17:00:00,2_11067508644E-05
2024.08.22 18:00:00,2_11511451198E-05
2024.08.22 19:00:00,2_11506794585E-05
2024.08.22 20:00:00,2_11300339288E-05
2024.08.22 21:00:00,2_10961297853E-05
2024.08.22 22:00:00,2_10614489333E-05
2024.08.22 23:00:00,2_10391463042E-05
2024.08.23 00:00:00,2_10354501178E-05
2024.08.23 01:00:00,2_10653997783E-05
2024.08.23 02:00:00,2_11015631066E-05
2024.08.23 03:00:00,2_11451333598E-05
2024.08.23 04:00:00,2_11902734009E-05
2024.08.23 05:00:00,2_12267459574E-05
2024.08.23 06:00:00,2_12602008105E-05
2024.08.23 07:00:00,2_12879731407E-05
2024.08.23 08:00:00,2_13198927668E-05
2024.08.23 09:00:00,2_13591138163E-05
2024.08.23 10:00:00,2_14001120185E-05
2024.08.23 11:00:00,2_14527790376E-05
2024.08.23 12:00:00,2_15246691369E-05
2024.08.23 13:00:00,2_15974632738E-05
2024.08.23 14:00:00,2_16303542402E-05
2024.08.23 15:00:00,2_16443277168E-05
2024.08.23 16:00:00,2_16939843085E-05
2024.08.23 17:00:00,2_17677970795E-05
2024.08.23 18:00:00,2_18341829168E-05
2024.08.23 19:00:00,2_1842894057E-05
2024.08.23 20:00:00,2_17939286813E-05
2024.08.23 21:00:00,2_17214837903E-05
2024.08.23 22:00:00,2_16681673919E-05
2024.08.23 23:00:00,2_16476983042E-05
2024.08.24 00:00:00,2_16616608668E-05
2024.08.24 01:00:00,2_17046290345E-05
2024.08.24 02:00:00,2_17515917029E-05
2024.08.24 03:00:00,2_17913730012E-05
2024.08.24 04:00:00,2_18322493311E-05
2024.08.24 05:00:00,2_18688692257E-05
