Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.11 06:00:00,5_2778304962E-05
2024.08.11 07:00:00,5_25462273799E-05
2024.08.11 08:00:00,5_23188937223E-05
2024.08.11 09:00:00,5_20482899447E-05
2024.08.11 10:00:00,5_17415246577E-05
2024.08.11 11:00:00,5_14560852025E-05
2024.08.11 12:00:00,5_11682846991E-05
2024.08.11 13:00:00,5_07937002112E-05
2024.08.11 14:00:00,5_05026873725E-05
2024.08.11 15:00:00,5_01394897583E-05
2024.08.11 16:00:00,4_99684138049E-05
2024.08.11 17:00:00,4_97206456203E-05
2024.08.11 18:00:00,4_95670392411E-05
2024.08.11 19:00:00,4_93881343573E-05
2024.08.11 20:00:00,4_92107865284E-05
2024.08.11 21:00:00,4_90513048135E-05
2024.08.11 22:00:00,4_89145604661E-05
2024.08.11 23:00:00,4_87548095407E-05
2024.08.12 00:00:00,4_86432909383E-05
2024.08.12 01:00:00,4_84744814457E-05
2024.08.12 02:00:00,4_83035364596E-05
2024.08.12 03:00:00,4_81084389321E-05
2024.08.12 04:00:00,4_79621885461E-05
2024.08.12 05:00:00,4_77877401863E-05
2024.08.12 06:00:00,4_76104833069E-05
2024.08.12 07:00:00,4_74169282825E-05
2024.08.12 08:00:00,4_7169127356E-05
2024.08.12 09:00:00,4_69278602395E-05
2024.08.12 10:00:00,4_67242425657E-05
2024.08.12 11:00:00,4_63936012238E-05
2024.08.12 12:00:00,4_63043288619E-05
2024.08.12 13:00:00,4_60687151644E-05
2024.08.12 14:00:00,4_59211769339E-05
2024.08.12 15:00:00,4_5537166443E-05
2024.08.12 16:00:00,4_54014079878E-05
2024.08.12 17:00:00,4_53790453321E-05
2024.08.12 18:00:00,4_52301537734E-05
2024.08.12 19:00:00,4_50515108241E-05
2024.08.12 20:00:00,4_48970786238E-05
2024.08.12 21:00:00,4_47729908046E-05
2024.08.12 22:00:00,4_45150144515E-05
2024.08.12 23:00:00,4_44622673967E-05
2024.08.13 00:00:00,4_43306962552E-05
2024.08.13 01:00:00,4_42027194367E-05
2024.08.13 02:00:00,4_41053634859E-05
2024.08.13 03:00:00,4_39630202891E-05
2024.08.13 04:00:00,4_38254210167E-05
2024.08.13 05:00:00,4_37172529928E-05
2024.08.13 06:00:00,4_36019254266E-05
2024.08.13 07:00:00,4_34497051174E-05
2024.08.13 08:00:00,4_32991728303E-05
2024.08.13 09:00:00,4_3080184696E-05
2024.08.13 10:00:00,4_29430947406E-05
2024.08.13 11:00:00,4_28192033723E-05
2024.08.13 12:00:00,4_26670230809E-05
2024.08.13 13:00:00,4_25493199145E-05
2024.08.13 14:00:00,4_23960809712E-05
2024.08.13 15:00:00,4_22582306783E-05
2024.08.13 16:00:00,4_18861054641E-05
2024.08.13 17:00:00,4_15638460254E-05
2024.08.13 18:00:00,4_15907088609E-05
2024.08.13 19:00:00,4_15537106164E-05
2024.08.13 20:00:00,4_14820133301E-05
2024.08.13 21:00:00,4_13916641264E-05
2024.08.13 22:00:00,4_12856861658E-05
2024.08.13 23:00:00,4_11766086472E-05
2024.08.14 00:00:00,4_10836255469E-05
2024.08.14 01:00:00,4_09689819207E-05
2024.08.14 02:00:00,4_04490383517E-05
2024.08.14 03:00:00,4_04420643463E-05
2024.08.14 04:00:00,4_04059537686E-05
2024.08.14 05:00:00,4_03607191402E-05
2024.08.14 06:00:00,4_02632322221E-05
2024.08.14 07:00:00,4_01784564019E-05
2024.08.14 08:00:00,4_00506178266E-05
2024.08.14 09:00:00,3_98990741814E-05
2024.08.14 10:00:00,3_97576732212E-05
2024.08.14 11:00:00,3_96569121222E-05
2024.08.14 12:00:00,3_95304814447E-05
2024.08.14 13:00:00,3_9362032112E-05
2024.08.14 14:00:00,3_90961504309E-05
2024.08.14 15:00:00,3_90362802136E-05
2024.08.14 16:00:00,3_88893931813E-05
2024.08.14 17:00:00,3_87424188375E-05
2024.08.14 18:00:00,3_86390456697E-05
2024.08.14 19:00:00,3_8531190512E-05
2024.08.14 20:00:00,3_84041195503E-05
2024.08.14 21:00:00,3_83250626328E-05
2024.08.14 22:00:00,3_82059151889E-05
2024.08.14 23:00:00,3_81336758437E-05
2024.08.15 00:00:00,3_80492165277E-05
2024.08.15 01:00:00,3_79608718504E-05
2024.08.15 02:00:00,3_78618387913E-05
2024.08.15 03:00:00,3_77942087653E-05
2024.08.15 04:00:00,3_76957032131E-05
2024.08.15 05:00:00,3_76238967874E-05
2024.08.15 06:00:00,3_75333947886E-05
2024.08.15 07:00:00,3_7434976548E-05
2024.08.15 08:00:00,3_73313232558E-05
2024.08.15 09:00:00,3_72020585928E-05
2024.08.15 10:00:00,3_71010464733E-05
2024.08.15 11:00:00,3_69521876564E-05
2024.08.15 12:00:00,3_68568689737E-05
2024.08.15 13:00:00,3_67224893125E-05
2024.08.15 14:00:00,3_65748746844E-05
2024.08.15 15:00:00,3_64809857274E-05
2024.08.15 16:00:00,3_63357103197E-05
2024.08.15 17:00:00,3_62606297131E-05
2024.08.15 18:00:00,3_61741695087E-05
2024.08.15 19:00:00,3_61237180186E-05
2024.08.15 20:00:00,3_60570229532E-05
2024.08.15 21:00:00,3_60203703167E-05
2024.08.15 22:00:00,3_59756049875E-05
2024.08.15 23:00:00,3_59153382306E-05
2024.08.16 00:00:00,3_58495490218E-05
2024.08.16 01:00:00,3_57873141184E-05
2024.08.16 02:00:00,3_57416101906E-05
2024.08.16 03:00:00,3_56664022547E-05
2024.08.16 04:00:00,3_5603519791E-05
2024.08.16 05:00:00,3_55415868398E-05
2024.08.16 06:00:00,3_54739349859E-05
2024.08.16 07:00:00,3_54029107257E-05
2024.08.16 08:00:00,3_53142568201E-05
2024.08.16 09:00:00,3_5209744965E-05
2024.08.16 10:00:00,3_50950795109E-05
2024.08.16 11:00:00,3_49588372046E-05
2024.08.16 12:00:00,3_48999637936E-05
2024.08.16 13:00:00,3_48601279256E-05
2024.08.16 14:00:00,3_48271751136E-05
2024.08.16 15:00:00,3_47359746229E-05
2024.08.16 16:00:00,3_46554297721E-05
2024.08.16 17:00:00,3_45819426002E-05
2024.08.16 18:00:00,3_45227927028E-05
2024.08.16 19:00:00,3_44956097251E-05
2024.08.16 20:00:00,3_449477299E-05
2024.08.16 21:00:00,3_44935833709E-05
2024.08.16 22:00:00,3_44838845194E-05
2024.08.16 23:00:00,3_44695217791E-05
2024.08.17 00:00:00,3_44376203429E-05
2024.08.17 01:00:00,3_44125764968E-05
2024.08.17 02:00:00,3_43765750586E-05
2024.08.17 03:00:00,3_43242099916E-05
2024.08.17 04:00:00,3_42687926604E-05
2024.08.17 05:00:00,3_42192106473E-05
2024.08.17 06:00:00,3_41551385645E-05
2024.08.17 07:00:00,3_40465339832E-05
2024.08.17 08:00:00,3_38619684044E-05
2024.08.17 09:00:00,3_38019417541E-05
2024.08.17 10:00:00,3_37641613442E-05
2024.08.17 11:00:00,3_37650053552E-05
2024.08.17 12:00:00,3_3698262996E-05
2024.08.17 13:00:00,3_36337834597E-05
2024.08.17 14:00:00,3_35266995535E-05
2024.08.17 15:00:00,3_34541437041E-05
2024.08.17 16:00:00,3_3382410038E-05
2024.08.17 17:00:00,3_33616153512E-05
2024.08.17 18:00:00,3_32836279995E-05
2024.08.17 19:00:00,3_32747586071E-05
2024.08.17 20:00:00,3_32399613399E-05
2024.08.17 21:00:00,3_3214007999E-05
2024.08.17 22:00:00,3_31765331794E-05
2024.08.17 23:00:00,3_31544688379E-05
2024.08.18 00:00:00,3_31293413183E-05
2024.08.18 01:00:00,3_30857146764E-05
2024.08.18 02:00:00,3_30481052515E-05
2024.08.18 03:00:00,3_30133734678E-05
2024.08.18 04:00:00,3_29672075168E-05
2024.08.18 05:00:00,3_29279610014E-05
2024.08.18 06:00:00,3_28773712681E-05
2024.08.18 07:00:00,3_27978850692E-05
2024.08.18 08:00:00,3_27551533701E-05
2024.08.18 09:00:00,3_27177658619E-05
2024.08.18 10:00:00,3_26256522385E-05
2024.08.18 11:00:00,3_26047447743E-05
2024.08.18 12:00:00,3_25481050822E-05
2024.08.18 13:00:00,3_24937391269E-05
2024.08.18 14:00:00,3_24477514368E-05
2024.08.18 15:00:00,3_24007269228E-05
2024.08.18 16:00:00,3_23344793287E-05
2024.08.18 17:00:00,3_22878986481E-05
2024.08.18 18:00:00,3_22392697854E-05
2024.08.18 19:00:00,3_21864317812E-05
2024.08.18 20:00:00,3_21877087117E-05
2024.08.18 21:00:00,3_21628140227E-05
2024.08.18 22:00:00,3_21384795825E-05
2024.08.18 23:00:00,3_20713807014E-05
2024.08.19 00:00:00,3_20738181472E-05
2024.08.19 01:00:00,3_19516657328E-05
2024.08.19 02:00:00,3_17889171129E-05
2024.08.19 03:00:00,3_18521197187E-05
2024.08.19 04:00:00,3_18274251185E-05
2024.08.19 05:00:00,3_1794908864E-05
2024.08.19 06:00:00,3_17096091749E-05
2024.08.19 07:00:00,3_16899531754E-05
2024.08.19 08:00:00,3_16538353218E-05
2024.08.19 09:00:00,3_1592517189E-05
2024.08.19 10:00:00,3_1538947951E-05
2024.08.19 11:00:00,3_14634853567E-05
2024.08.19 12:00:00,3_13991004077E-05
2024.08.19 13:00:00,3_14147328027E-05
2024.08.19 14:00:00,3_13486707455E-05
2024.08.19 15:00:00,3_13181008096E-05
2024.08.19 16:00:00,3_1246272556E-05
2024.08.19 17:00:00,3_11874864565E-05
2024.08.19 18:00:00,3_112748891E-05
2024.08.19 19:00:00,3_10517061735E-05
2024.08.19 20:00:00,3_10454124701E-05
2024.08.19 21:00:00,3_10240320687E-05
2024.08.19 22:00:00,3_09914612444E-05
2024.08.19 23:00:00,3_09618480969E-05
2024.08.20 00:00:00,3_09352617478E-05
2024.08.20 01:00:00,3_08829694404E-05
2024.08.20 02:00:00,3_08492599288E-05
2024.08.20 03:00:00,3_07912559947E-05
2024.08.20 04:00:00,3_07185546262E-05
2024.08.20 05:00:00,3_06760521198E-05
2024.08.20 06:00:00,3_066262434E-05
2024.08.20 07:00:00,3_06160181935E-05
2024.08.20 08:00:00,3_05827124976E-05
2024.08.20 09:00:00,3_05379326164E-05
