Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.12 07:00:00,1_09219486788E-08
2024.08.12 08:00:00,1_09685442951E-08
2024.08.12 09:00:00,1_10103623996E-08
2024.08.12 10:00:00,1_10725526525E-08
2024.08.12 11:00:00,1_11265077152E-08
2024.08.12 12:00:00,1_11992859431E-08
2024.08.12 13:00:00,1_12946558772E-08
2024.08.12 14:00:00,1_14858815792E-08
2024.08.12 15:00:00,1_16436771336E-08
2024.08.12 16:00:00,1_17250094078E-08
2024.08.12 17:00:00,1_178810205E-08
2024.08.12 18:00:00,1_18693490592E-08
2024.08.12 19:00:00,1_19486962546E-08
2024.08.12 20:00:00,1_20413892191E-08
2024.08.12 21:00:00,1_2156814222E-08
2024.08.12 22:00:00,1_22562910931E-08
2024.08.12 23:00:00,1_24103172183E-08
2024.08.13 00:00:00,1_25522570116E-08
2024.08.13 01:00:00,1_27070753919E-08
2024.08.13 02:00:00,1_28719523929E-08
2024.08.13 03:00:00,1_30561783607E-08
2024.08.13 04:00:00,1_32546071896E-08
2024.08.13 05:00:00,1_34470363733E-08
2024.08.13 06:00:00,1_36306805842E-08
2024.08.13 07:00:00,1_38037608011E-08
2024.08.13 08:00:00,1_39740672367E-08
2024.08.13 09:00:00,1_41111682339E-08
2024.08.13 10:00:00,1_42776261924E-08
2024.08.13 11:00:00,1_45010297103E-08
2024.08.13 12:00:00,1_46743266427E-08
2024.08.13 13:00:00,1_48549412771E-08
2024.08.13 14:00:00,1_50497783125E-08
2024.08.13 15:00:00,1_52176973245E-08
2024.08.13 16:00:00,1_53117980517E-08
2024.08.13 17:00:00,1_53927981472E-08
2024.08.13 18:00:00,1_55721444628E-08
2024.08.13 19:00:00,1_58106132631E-08
2024.08.13 20:00:00,1_60388200499E-08
2024.08.13 21:00:00,1_62663909009E-08
2024.08.13 22:00:00,1_65059574897E-08
2024.08.13 23:00:00,1_67665881179E-08
2024.08.14 00:00:00,1_70138090283E-08
2024.08.14 01:00:00,1_72364451601E-08
2024.08.14 02:00:00,1_72863661163E-08
2024.08.14 03:00:00,1_76097589843E-08
2024.08.14 04:00:00,1_80430390628E-08
2024.08.14 05:00:00,1_84637709566E-08
2024.08.14 06:00:00,1_88598772155E-08
2024.08.14 07:00:00,1_9200387058E-08
2024.08.14 08:00:00,1_94915497076E-08
2024.08.14 09:00:00,1_97589482553E-08
2024.08.14 10:00:00,2_0020193503E-08
2024.08.14 11:00:00,2_02955341422E-08
2024.08.14 12:00:00,2_05620658278E-08
2024.08.14 13:00:00,2_08112105327E-08
2024.08.14 14:00:00,2_10249169186E-08
2024.08.14 15:00:00,2_13226627466E-08
2024.08.14 16:00:00,2_15757705035E-08
2024.08.14 17:00:00,2_18123794582E-08
2024.08.14 18:00:00,2_21038440884E-08
2024.08.14 19:00:00,2_2408636724E-08
2024.08.14 20:00:00,2_27133831743E-08
2024.08.14 21:00:00,2_30450698524E-08
2024.08.14 22:00:00,2_33790427018E-08
2024.08.14 23:00:00,2_37453932073E-08
2024.08.15 00:00:00,2_41177282589E-08
2024.08.15 01:00:00,2_45066598126E-08
2024.08.15 02:00:00,2_49104026295E-08
2024.08.15 03:00:00,2_53431711172E-08
2024.08.15 04:00:00,2_5769294254E-08
2024.08.15 05:00:00,2_62101647053E-08
2024.08.15 06:00:00,2_66389683645E-08
2024.08.15 07:00:00,2_70006275116E-08
2024.08.15 08:00:00,2_7338483477E-08
2024.08.15 09:00:00,2_76960960832E-08
2024.08.15 10:00:00,2_81211427478E-08
2024.08.15 11:00:00,2_85698806834E-08
2024.08.15 12:00:00,2_90447790263E-08
2024.08.15 13:00:00,2_98390823161E-08
2024.08.15 14:00:00,3_06051646248E-08
2024.08.15 15:00:00,3_1477764395E-08
2024.08.15 16:00:00,3_20643493978E-08
2024.08.15 17:00:00,3_2411527684E-08
2024.08.15 18:00:00,3_26180220611E-08
2024.08.15 19:00:00,3_28416334128E-08
2024.08.15 20:00:00,3_31510534579E-08
2024.08.15 21:00:00,3_35021645981E-08
2024.08.15 22:00:00,3_38503305386E-08
