Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.17 12:00:00,3_35786535288E-05
2024.08.17 13:00:00,3_35960503435E-05
2024.08.17 14:00:00,3_35965669365E-05
2024.08.17 15:00:00,3_35768272635E-05
2024.08.17 16:00:00,3_35386757797E-05
2024.08.17 17:00:00,3_34935466526E-05
2024.08.17 18:00:00,3_3464300941E-05
2024.08.17 19:00:00,3_34143187501E-05
2024.08.17 20:00:00,3_33629031957E-05
2024.08.17 21:00:00,3_33300449711E-05
2024.08.17 22:00:00,3_32684176101E-05
2024.08.17 23:00:00,3_32167765009E-05
2024.08.18 00:00:00,3_31660230586E-05
2024.08.18 01:00:00,3_31308874593E-05
2024.08.18 02:00:00,3_30943876179E-05
2024.08.18 03:00:00,3_30557704729E-05
2024.08.18 04:00:00,3_30147558998E-05
2024.08.18 05:00:00,3_2975069189E-05
2024.08.18 06:00:00,3_292407564E-05
2024.08.18 07:00:00,3_28179339704E-05
2024.08.18 08:00:00,3_27899870172E-05
2024.08.18 09:00:00,3_27463494614E-05
2024.08.18 10:00:00,3_26458030031E-05
2024.08.18 11:00:00,3_26342233166E-05
2024.08.18 12:00:00,3_25909240928E-05
2024.08.18 13:00:00,3_25474356941E-05
2024.08.18 14:00:00,3_25030159729E-05
2024.08.18 15:00:00,3_24887769239E-05
2024.08.18 16:00:00,3_24570537487E-05
2024.08.18 17:00:00,3_24227476085E-05
2024.08.18 18:00:00,3_23889616993E-05
2024.08.18 19:00:00,3_23296335409E-05
2024.08.18 20:00:00,3_23199128616E-05
2024.08.18 21:00:00,3_22619089275E-05
2024.08.18 22:00:00,3_22238265653E-05
2024.08.18 23:00:00,3_21300758515E-05
2024.08.19 00:00:00,3_21402221743E-05
2024.08.19 01:00:00,3_19724385918E-05
2024.08.19 02:00:00,3_17376870953E-05
2024.08.19 03:00:00,3_18706988764E-05
2024.08.19 04:00:00,3_18662423524E-05
2024.08.19 05:00:00,3_18440579576E-05
2024.08.19 06:00:00,3_1735675293E-05
2024.08.19 07:00:00,3_17396916216E-05
2024.08.19 08:00:00,3_17081539833E-05
2024.08.19 09:00:00,3_16427976941E-05
2024.08.19 10:00:00,3_16056830343E-05
2024.08.19 11:00:00,3_15302459057E-05
2024.08.19 12:00:00,3_14885328407E-05
2024.08.19 13:00:00,3_14685239573E-05
2024.08.19 14:00:00,3_14341850753E-05
2024.08.19 15:00:00,3_1407806091E-05
2024.08.19 16:00:00,3_14141252602E-05
2024.08.19 17:00:00,3_13625896524E-05
2024.08.19 18:00:00,3_13227756124E-05
