Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.06 17:00:00,4.6912560947E-07
2024.08.06 18:00:00,5.02254238199E-07
2024.08.06 19:00:00,5.38836388841E-07
2024.08.06 20:00:00,5.7722411384E-07
2024.08.06 21:00:00,6.1879632085E-07
2024.08.06 22:00:00,6.79333084008E-07
2024.08.06 23:00:00,7.39818176498E-07
2024.08.07 00:00:00,7.82215124673E-07
2024.08.07 01:00:00,8.07675291981E-07
2024.08.07 02:00:00,8.34504533032E-07
2024.08.07 03:00:00,8.48084312111E-07
2024.08.07 04:00:00,8.50132039432E-07
2024.08.07 05:00:00,8.47672822601E-07
2024.08.07 06:00:00,8.60788532009E-07
2024.08.07 07:00:00,8.87238115865E-07
2024.08.07 08:00:00,9.19625676943E-07
2024.08.07 09:00:00,9.66072434494E-07
2024.08.07 10:00:00,1.01235514194E-06
2024.08.07 11:00:00,1.05043329768E-06
2024.08.07 12:00:00,1.07739788291E-06
2024.08.07 13:00:00,1.10511507501E-06
2024.08.07 14:00:00,1.14683155061E-06
2024.08.07 15:00:00,1.20076629173E-06
2024.08.07 16:00:00,1.26367456232E-06
2024.08.07 17:00:00,1.33203798214E-06
2024.08.07 18:00:00,1.3956193925E-06
2024.08.07 19:00:00,1.4579376284E-06
2024.08.07 20:00:00,1.51615245159E-06
2024.08.07 21:00:00,1.5805418343E-06
2024.08.07 22:00:00,1.63837671607E-06
2024.08.07 23:00:00,1.68940584899E-06
2024.08.08 00:00:00,1.73538114723E-06
2024.08.08 01:00:00,1.77691958925E-06
2024.08.08 02:00:00,1.82112478342E-06
2024.08.08 03:00:00,1.88801300283E-06
2024.08.08 04:00:00,2.01032935365E-06
2024.08.08 05:00:00,2.18661534745E-06
2024.08.08 06:00:00,2.37778203882E-06
2024.08.08 07:00:00,2.59008220382E-06
2024.08.08 08:00:00,2.85415012513E-06
2024.08.08 09:00:00,3.13151826958E-06
2024.08.08 10:00:00,3.4340187085E-06
2024.08.08 11:00:00,4.02850173487E-06
2024.08.08 12:00:00,5.45312286704E-06
2024.08.08 13:00:00,7.53230460759E-06
2024.08.08 14:00:00,9.51195033849E-06
2024.08.08 15:00:00,1.14950280476E-05
2024.08.08 16:00:00,1.33808462124E-05
2024.08.08 17:00:00,1.49433735714E-05
2024.08.08 18:00:00,1.61591506185E-05
2024.08.08 19:00:00,1.69045233633E-05
2024.08.08 20:00:00,1.73178650584E-05
2024.08.08 21:00:00,1.70838775375E-05
2024.08.08 22:00:00,1.6309950297E-05
2024.08.08 23:00:00,1.55748275574E-05
2024.08.09 00:00:00,1.4906967408E-05
2024.08.09 01:00:00,1.39700596264E-05
2024.08.09 02:00:00,1.29343952722E-05
2024.08.09 03:00:00,1.17776344268E-05
2024.08.09 04:00:00,1.07718833533E-05
2024.08.09 05:00:00,9.83907921182E-06
2024.08.09 06:00:00,8.83975917532E-06
2024.08.09 07:00:00,7.90515059634E-06
2024.08.09 08:00:00,7.19166018825E-06
