Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.09 14:00:00,1_48333101606E-05
2024.08.09 15:00:00,1_45189678733E-05
2024.08.09 16:00:00,1_42285034599E-05
2024.08.09 17:00:00,1_39544572448E-05
2024.08.09 18:00:00,1_3714869965E-05
2024.08.09 19:00:00,1_33750354507E-05
2024.08.09 20:00:00,1_29370318973E-05
2024.08.09 21:00:00,1_25642036437E-05
2024.08.09 22:00:00,1_22231895148E-05
2024.08.09 23:00:00,1_18616044347E-05
2024.08.10 00:00:00,1_1658386029E-05
2024.08.10 01:00:00,1_14828180813E-05
2024.08.10 02:00:00,1_12446177809E-05
2024.08.10 03:00:00,1_09947068268E-05
2024.08.10 04:00:00,1_08051335701E-05
2024.08.10 05:00:00,0_0298120323569
2024.08.10 06:00:00,0_00229478278197
2024.08.10 07:00:00,0_000538197171409
2024.08.10 08:00:00,0_000252899917541
2024.08.10 09:00:00,0_000155645684572
2024.08.10 10:00:00,0_000109970169433
2024.08.10 11:00:00,8_36150211398E-05
2024.08.10 12:00:00,6_75222472637E-05
2024.08.10 13:00:00,5_78111939831E-05
2024.08.10 14:00:00,5_15660794917E-05
2024.08.10 15:00:00,4_65761622763E-05
2024.08.10 16:00:00,4_23269120802E-05
2024.08.10 17:00:00,3_89230190194E-05
2024.08.10 18:00:00,3_5974651837E-05
2024.08.10 19:00:00,3_35592958436E-05
2024.08.10 20:00:00,3_15589568345E-05
2024.08.10 21:00:00,2_96666930808E-05
2024.08.10 22:00:00,2_81909615296E-05
2024.08.10 23:00:00,2_69316824415E-05
2024.08.11 00:00:00,2_58873606072E-05
2024.08.11 01:00:00,2_49673030339E-05
2024.08.11 02:00:00,2_41206798819E-05
2024.08.11 03:00:00,2_33875598497E-05
2024.08.11 04:00:00,2_27354521485E-05
2024.08.11 05:00:00,2_21027366933E-05
2024.08.11 06:00:00,2_14868996409E-05
2024.08.11 07:00:00,2_09386344068E-05
2024.08.11 08:00:00,2_04823863896E-05
2024.08.11 09:00:00,2_00853810384E-05
2024.08.11 10:00:00,1_96249711735E-05
2024.08.11 11:00:00,1_92167153727E-05
2024.08.11 12:00:00,1_88203975995E-05
2024.08.11 13:00:00,1_84138589248E-05
2024.08.11 14:00:00,1_79413218575E-05
2024.08.11 15:00:00,1_74752385647E-05
2024.08.11 16:00:00,1_70419261849E-05
2024.08.11 17:00:00,1_66708614415E-05
2024.08.11 18:00:00,1_63163549587E-05
2024.08.11 19:00:00,1_59707196872E-05
2024.08.11 20:00:00,1_56430360221E-05
2024.08.11 21:00:00,1_53366836457E-05
2024.08.11 22:00:00,1_50398491314E-05
