Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.09.03 03:00:00,1.0669630683E-05
2024.09.03 04:00:00,1.06563556983E-05
2024.09.03 05:00:00,1.06397728814E-05
2024.09.03 06:00:00,1.06151910586E-05
2024.09.03 07:00:00,1.05822355181E-05
2024.09.03 08:00:00,1.05419767351E-05
2024.09.03 09:00:00,1.04890614239E-05
2024.09.03 10:00:00,1.04135442598E-05
2024.09.03 11:00:00,1.03322317955E-05
2024.09.03 12:00:00,1.0267003745E-05
2024.09.03 13:00:00,1.02161284303E-05
2024.09.03 14:00:00,1.01556024674E-05
2024.09.03 15:00:00,1.00926854429E-05
2024.09.03 16:00:00,1.0058432963E-05
2024.09.03 17:00:00,1.00600709629E-05
2024.09.03 18:00:00,1.0068300071E-05
2024.09.03 19:00:00,1.00575089164E-05
2024.09.03 20:00:00,1.00055758594E-05
2024.09.03 21:00:00,9.92393779597E-06
2024.09.03 22:00:00,9.82312212727E-06
2024.09.03 23:00:00,9.71433019004E-06
2024.09.04 00:00:00,9.61167825153E-06
2024.09.04 01:00:00,9.52125992626E-06
2024.09.04 02:00:00,9.45016108744E-06
2024.09.04 03:00:00,9.39588335314E-06
2024.09.04 04:00:00,9.35050593398E-06
2024.09.04 05:00:00,9.31407976168E-06
2024.09.04 06:00:00,9.27877681534E-06
2024.09.04 07:00:00,9.23174411582E-06
2024.09.04 08:00:00,9.17188299354E-06
2024.09.04 09:00:00,9.1080846687E-06
2024.09.04 10:00:00,9.0613921202E-06
2024.09.04 11:00:00,9.03961063159E-06
2024.09.04 12:00:00,9.03754153114E-06
2024.09.04 13:00:00,9.0684306997E-06
2024.09.04 14:00:00,9.1485271696E-06
2024.09.04 15:00:00,9.25823860598E-06
2024.09.04 16:00:00,9.37177810556E-06
2024.09.04 17:00:00,9.45881492953E-06
2024.09.04 18:00:00,9.50232060859E-06
2024.09.04 19:00:00,9.52186655923E-06
2024.09.04 20:00:00,9.53212565946E-06
2024.09.04 21:00:00,9.54493953031E-06
2024.09.04 22:00:00,9.56687472353E-06
2024.09.04 23:00:00,9.59773115028E-06
2024.09.05 00:00:00,9.63210914051E-06
2024.09.05 01:00:00,9.67349205894E-06
2024.09.05 02:00:00,9.7106794783E-06
2024.09.05 03:00:00,9.73144324234E-06
2024.09.05 04:00:00,9.73172882368E-06
2024.09.05 05:00:00,9.71422741713E-06
2024.09.05 06:00:00,9.69101165538E-06
2024.09.05 07:00:00,9.66849347606E-06
2024.09.05 08:00:00,9.6499807114E-06
2024.09.05 09:00:00,9.63996717473E-06
2024.09.05 10:00:00,9.64117953117E-06
2024.09.05 11:00:00,9.64868195297E-06
2024.09.05 12:00:00,9.6614658105E-06
2024.09.05 13:00:00,9.67951564235E-06
2024.09.05 14:00:00,9.70444762061E-06
2024.09.05 15:00:00,9.73221085587E-06
2024.09.05 16:00:00,9.75237344392E-06
2024.09.05 17:00:00,9.75945204118E-06
2024.09.05 18:00:00,9.74994873104E-06
2024.09.05 19:00:00,9.7242073025E-06
2024.09.05 20:00:00,9.6932399174E-06
2024.09.05 21:00:00,9.65699109656E-06
2024.09.05 22:00:00,9.6234425655E-06
2024.09.05 23:00:00,9.59578119364E-06
2024.09.06 00:00:00,9.57418615144E-06
2024.09.06 01:00:00,9.55563882599E-06
2024.09.06 02:00:00,9.54030110734E-06
2024.09.06 03:00:00,9.5281875474E-06
2024.09.06 04:00:00,9.51675792749E-06
2024.09.06 05:00:00,9.50435332925E-06
2024.09.06 06:00:00,9.48995057115E-06
2024.09.06 07:00:00,9.47774697124E-06
2024.09.06 08:00:00,9.46696127357E-06
2024.09.06 09:00:00,9.46486943576E-06
2024.09.06 10:00:00,9.46961063164E-06
2024.09.06 11:00:00,9.46885211306E-06
2024.09.06 12:00:00,9.46346062847E-06
2024.09.06 13:00:00,9.46618001763E-06
2024.09.06 14:00:00,9.49366312852E-06
2024.09.06 15:00:00,9.54923507379E-06
2024.09.06 16:00:00,9.64555056271E-06
2024.09.06 17:00:00,9.79220476438E-06
2024.09.06 18:00:00,9.93460344034E-06
2024.09.06 19:00:00,1.00358311101E-05
2024.09.06 20:00:00,1.00852166725E-05
2024.09.06 21:00:00,1.00954002846E-05
2024.09.06 22:00:00,1.00726911114E-05
2024.09.06 23:00:00,1.0018685316E-05
2024.09.07 00:00:00,9.96168637357E-06
2024.09.07 01:00:00,9.91705655906E-06
2024.09.07 02:00:00,9.90222724795E-06
2024.09.07 03:00:00,9.93597132037E-06
2024.09.07 04:00:00,9.99024086923E-06
2024.09.07 05:00:00,1.00524148365E-05
2024.09.07 06:00:00,1.00966135506E-05
2024.09.07 07:00:00,1.01157847894E-05
2024.09.07 08:00:00,1.01194700619E-05
2024.09.07 09:00:00,1.0139879123E-05
2024.09.07 10:00:00,1.02043477455E-05
2024.09.07 11:00:00,1.0281408322E-05
2024.09.07 12:00:00,1.03448364825E-05
2024.09.07 13:00:00,1.03991251308E-05
2024.09.07 14:00:00,1.04550999822E-05
2024.09.07 15:00:00,1.05154076664E-05
2024.09.07 16:00:00,1.05787912617E-05
2024.09.07 17:00:00,1.06279649117E-05
2024.09.07 18:00:00,1.06491779661E-05
2024.09.07 19:00:00,1.06541874629E-05
2024.09.07 20:00:00,1.06402985693E-05
2024.09.07 21:00:00,1.05969766082E-05
2024.09.07 22:00:00,1.05611934487E-05
2024.09.07 23:00:00,1.05666458694E-05
2024.09.08 00:00:00,1.057769623E-05
2024.09.08 01:00:00,1.06102443169E-05
2024.09.08 02:00:00,1.06623483589E-05
2024.09.08 03:00:00,1.06823672468E-05
2024.09.08 04:00:00,1.06780125861E-05
2024.09.08 05:00:00,1.06632405732E-05
2024.09.08 06:00:00,1.06341858555E-05
2024.09.08 07:00:00,1.05986937342E-05
2024.09.08 08:00:00,1.05701246866E-05
2024.09.08 09:00:00,1.05400758912E-05
2024.09.08 10:00:00,1.05087701741E-05
2024.09.08 11:00:00,1.04690825538E-05
2024.09.08 12:00:00,1.0424244465E-05
2024.09.08 13:00:00,1.03794636743E-05
2024.09.08 14:00:00,1.03256388684E-05
