Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.14 23:00:00,3_33913667419E-05
2024.08.15 00:00:00,3_33159041475E-05
2024.08.15 01:00:00,3_32411764248E-05
2024.08.15 02:00:00,3_3124932088E-05
2024.08.15 03:00:00,3_3024156437E-05
2024.08.15 04:00:00,3_29286485794E-05
2024.08.15 05:00:00,3_28483511112E-05
2024.08.15 06:00:00,3_27447487507E-05
2024.08.15 07:00:00,3_26284607581E-05
2024.08.15 08:00:00,3_25002038153E-05
2024.08.15 09:00:00,3_23632229993E-05
2024.08.15 10:00:00,3_22844534821E-05
2024.08.15 11:00:00,3_21408988384E-05
2024.08.15 12:00:00,3_20643885061E-05
2024.08.15 13:00:00,3_19946011587E-05
2024.08.15 14:00:00,3_19586470141E-05
2024.08.15 15:00:00,3_18509009958E-05
2024.08.15 16:00:00,3_18107122439E-05
2024.08.15 17:00:00,3_17284102493E-05
2024.08.15 18:00:00,3_15958095598E-05
2024.08.15 19:00:00,3_14912067552E-05
2024.08.15 20:00:00,3_13885939249E-05
2024.08.15 21:00:00,3_1339150155E-05
2024.08.15 22:00:00,3_12434021907E-05
2024.08.15 23:00:00,3_11931216856E-05
2024.08.16 00:00:00,3_11328440148E-05
2024.08.16 01:00:00,3_10306204483E-05
2024.08.16 02:00:00,3_09782881232E-05
2024.08.16 03:00:00,3_08959788526E-05
2024.08.16 04:00:00,3_08187190967E-05
2024.08.16 05:00:00,3_07352238451E-05
2024.08.16 06:00:00,3_06400361296E-05
2024.08.16 07:00:00,3_05579378619E-05
2024.08.16 08:00:00,3_04489331029E-05
2024.08.16 09:00:00,3_03147644445E-05
2024.08.16 10:00:00,3_01826257783E-05
2024.08.16 11:00:00,2_99880939565E-05
2024.08.16 12:00:00,2_98242230201E-05
2024.08.16 13:00:00,2_96919333778E-05
2024.08.16 14:00:00,2_96700036415E-05
2024.08.16 15:00:00,2_96704893117E-05
2024.08.16 16:00:00,2_96802991215E-05
2024.08.16 17:00:00,2_96754515148E-05
2024.08.16 18:00:00,2_96720245387E-05
2024.08.16 19:00:00,2_96601829177E-05
2024.08.16 20:00:00,2_9634560633E-05
2024.08.16 21:00:00,2_9605038435E-05
2024.08.16 22:00:00,2_95571771858E-05
2024.08.16 23:00:00,2_95096124319E-05
