Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.11 17:00:00,2_9396987884E-05
2024.08.11 18:00:00,2_91018695862E-05
2024.08.11 19:00:00,2_88836417894E-05
2024.08.11 20:00:00,2_8728185498E-05
2024.08.11 21:00:00,2_86272315861E-05
2024.08.11 22:00:00,2_85773458018E-05
2024.08.11 23:00:00,2_85663954855E-05
2024.08.12 00:00:00,2_8596527045E-05
2024.08.12 01:00:00,2_86758713628E-05
2024.08.12 02:00:00,2_8799599022E-05
2024.08.12 03:00:00,2_89560375677E-05
2024.08.12 04:00:00,2_91291435133E-05
2024.08.12 05:00:00,2_92973327305E-05
2024.08.12 06:00:00,2_94353976642E-05
2024.08.12 07:00:00,2_95207009913E-05
2024.08.12 08:00:00,2_9527445804E-05
2024.08.12 09:00:00,2_94433175441E-05
2024.08.12 10:00:00,2_92954409815E-05
2024.08.12 11:00:00,2_90911229968E-05
2024.08.12 12:00:00,2_88417504635E-05
2024.08.12 13:00:00,2_86070298898E-05
2024.08.12 14:00:00,2_8441862014E-05
2024.08.12 15:00:00,2_84037705569E-05
2024.08.12 16:00:00,2_83719746221E-05
2024.08.12 17:00:00,2_8223854315E-05
2024.08.12 18:00:00,2_8033991839E-05
2024.08.12 19:00:00,2_78663046629E-05
2024.08.12 20:00:00,2_77442886727E-05
2024.08.12 21:00:00,2_76617047348E-05
2024.08.12 22:00:00,2_7598151064E-05
2024.08.12 23:00:00,2_75784404948E-05
2024.08.13 00:00:00,2_75925904134E-05
2024.08.13 01:00:00,2_76400860457E-05
2024.08.13 02:00:00,2_77001472568E-05
2024.08.13 03:00:00,2_77612489299E-05
2024.08.13 04:00:00,2_78064471786E-05
2024.08.13 05:00:00,2_7821477488E-05
2024.08.13 06:00:00,2_78265706584E-05
2024.08.13 07:00:00,2_78300940408E-05
2024.08.13 08:00:00,2_78329389403E-05
2024.08.13 09:00:00,2_77550025203E-05
2024.08.13 10:00:00,2_75438978861E-05
2024.08.13 11:00:00,2_72476790997E-05
2024.08.13 12:00:00,2_69541833404E-05
2024.08.13 13:00:00,2_67381656158E-05
2024.08.13 14:00:00,2_66416973318E-05
2024.08.13 15:00:00,2_6605264793E-05
2024.08.13 16:00:00,2_65780581685E-05
2024.08.13 17:00:00,2_65374928858E-05
2024.08.13 18:00:00,2_65406797553E-05
