Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.13 06:00:00,9_25472450256
2024.08.13 07:00:00,9_24159622192
2024.08.13 08:00:00,9_2339963913
2024.08.13 09:00:00,9_21391296387
2024.08.13 10:00:00,9_18632793427
2024.08.13 11:00:00,9_18450069427
2024.08.13 12:00:00,9_13273525238
2024.08.13 13:00:00,9_14651012421
2024.08.13 14:00:00,9_15522766113
2024.08.13 15:00:00,9_15437698364
2024.08.13 16:00:00,9_11177253723
2024.08.13 17:00:00,9_08318710327
2024.08.13 18:00:00,9_13596630096
2024.08.13 19:00:00,9_17797851563
2024.08.13 20:00:00,9_18021965027
2024.08.13 21:00:00,9_1901216507
2024.08.13 22:00:00,9_19914627075
2024.08.13 23:00:00,9_18574333191
2024.08.14 00:00:00,9_1787481308
2024.08.14 01:00:00,9_17795181274
2024.08.14 02:00:00,9_05779075623
2024.08.14 03:00:00,9_13660049438
2024.08.14 04:00:00,9_17659091949
2024.08.14 05:00:00,9_18516731262
2024.08.14 06:00:00,9_19132709503
2024.08.14 07:00:00,9_20631694794
2024.08.14 08:00:00,9_20012664795
2024.08.14 09:00:00,9_20168495178
2024.08.14 10:00:00,9_19987773895
2024.08.14 11:00:00,9_20580387115
2024.08.14 12:00:00,9_20785045624
2024.08.14 13:00:00,9_19680309296
2024.08.14 14:00:00,9_17084407806
2024.08.14 15:00:00,9_21947479248
2024.08.14 16:00:00,9_21277236938
2024.08.14 17:00:00,9_20727348328
2024.08.14 18:00:00,9_21347808838
2024.08.14 19:00:00,9_22341918945
2024.08.14 20:00:00,9_21346092224
2024.08.14 21:00:00,9_22758579254
2024.08.14 22:00:00,9_22757434845
2024.08.14 23:00:00,9_23905563354
2024.08.15 00:00:00,9_2422914505
2024.08.15 01:00:00,9_2497253418
2024.08.15 02:00:00,9_24879360199
2024.08.15 03:00:00,9_25153446198
2024.08.15 04:00:00,9_25196170807
2024.08.15 05:00:00,9_26126384735
2024.08.15 06:00:00,9_25703716278
2024.08.15 07:00:00,9_25105571747
2024.08.15 08:00:00,9_24249744415
2024.08.15 09:00:00,9_22338199615
2024.08.15 10:00:00,9_22182750702
2024.08.15 11:00:00,9_20326042175
2024.08.15 12:00:00,9_20391654968
2024.08.15 13:00:00,9_20301151276
2024.08.15 14:00:00,9_21648979187
2024.08.15 15:00:00,9_21134376526
2024.08.15 16:00:00,9_22956752777
2024.08.15 17:00:00,9_24007892609
2024.08.15 18:00:00,9_23049736023
2024.08.15 19:00:00,9_23278331757
2024.08.15 20:00:00,9_22570610046
2024.08.15 21:00:00,9_23831367493
2024.08.15 22:00:00,9_23195838928
2024.08.15 23:00:00,9_23813915253
2024.08.16 00:00:00,9_24151134491
2024.08.16 01:00:00,9_23261928558
2024.08.16 02:00:00,9_2458152771
2024.08.16 03:00:00,9_24413871765
2024.08.16 04:00:00,9_24264907837
2024.08.16 05:00:00,9_24062156677
2024.08.16 06:00:00,9_23520469666
2024.08.16 07:00:00,9_23915290833
2024.08.16 08:00:00,9_23512458801
2024.08.16 09:00:00,9_22439098358
2024.08.16 10:00:00,9_2240152359
2024.08.16 11:00:00,9_20927619934
2024.08.16 12:00:00,9_19275760651
2024.08.16 13:00:00,9_17227077484
2024.08.16 14:00:00,9_16937923431
2024.08.16 15:00:00,9_16997432709
2024.08.16 16:00:00,9_17860221863
2024.08.16 17:00:00,9_18695449829
2024.08.16 18:00:00,9_20023727417
2024.08.16 19:00:00,9_21255493164
2024.08.16 20:00:00,9_21729850769
2024.08.16 21:00:00,9_2203245163
2024.08.16 22:00:00,9_22160816193
2024.08.16 23:00:00,9_22634029388
2024.08.17 00:00:00,9_21823406219
2024.08.17 01:00:00,9_2243976593
2024.08.17 02:00:00,9_22348022461
2024.08.17 03:00:00,9_22123146057
2024.08.17 04:00:00,9_22098636627
2024.08.17 05:00:00,9_2231464386
2024.08.17 06:00:00,9_22177696228
2024.08.17 07:00:00,9_2155752182
2024.08.17 08:00:00,9_21096515656
2024.08.17 09:00:00,9_21185302734
2024.08.17 10:00:00,9_17880630493
2024.08.17 11:00:00,9_17126274109
2024.08.17 12:00:00,9_16698074341
2024.08.17 13:00:00,9_16827011108
2024.08.17 14:00:00,9_17263031006
2024.08.17 15:00:00,9_17636394501
2024.08.17 16:00:00,9_17890071869
2024.08.17 17:00:00,9_17905521393
2024.08.17 18:00:00,9_18914413452
2024.08.17 19:00:00,9_19558620453
2024.08.17 20:00:00,9_20022201538
2024.08.17 21:00:00,9_21395397186
2024.08.17 22:00:00,9_20585536957
2024.08.17 23:00:00,9_20961380005
2024.08.18 00:00:00,9_21138191223
2024.08.18 01:00:00,9_21764373779
2024.08.18 02:00:00,9_22112083435
2024.08.18 03:00:00,9_22141838074
2024.08.18 04:00:00,9_22155189514
2024.08.18 05:00:00,9_22245025635
2024.08.18 06:00:00,9_21993160248
2024.08.18 07:00:00,9_19896030426
