Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.12 12:00:00,9_40200805664
2024.08.12 13:00:00,9_40104293823
2024.08.12 14:00:00,9_39775562286
2024.08.12 15:00:00,9_39007282257
2024.08.12 16:00:00,9_38831424713
2024.08.12 17:00:00,9_38738536835
2024.08.12 18:00:00,9_38537788391
2024.08.12 19:00:00,9_3857088089
2024.08.12 20:00:00,9_3872089386
2024.08.12 21:00:00,9_38906764984
2024.08.12 22:00:00,9_3842124939
2024.08.12 23:00:00,9_38485050201
2024.08.13 00:00:00,9_38721942902
2024.08.13 01:00:00,9_39232826233
2024.08.13 02:00:00,9_39464664459
2024.08.13 03:00:00,9_39655971527
2024.08.13 04:00:00,9_39790630341
2024.08.13 05:00:00,9_39933776855
2024.08.13 06:00:00,9_40086936951
2024.08.13 07:00:00,9_40191555023
2024.08.13 08:00:00,9_4026222229
2024.08.13 09:00:00,9_40267467499
2024.08.13 10:00:00,9_40127849579
2024.08.13 11:00:00,9_39898490906
2024.08.13 12:00:00,9_39673137665
2024.08.13 13:00:00,9_39667034149
2024.08.13 14:00:00,9_39371013641
2024.08.13 15:00:00,9_38673973083
2024.08.13 16:00:00,9_37156105042
2024.08.13 17:00:00,9_3521194458
2024.08.13 18:00:00,9_34004974365
2024.08.13 19:00:00,9_33365631104
2024.08.13 20:00:00,9_33223819733
2024.08.13 21:00:00,9_33327865601
2024.08.13 22:00:00,9_32970237732
2024.08.13 23:00:00,9_32762718201
2024.08.14 00:00:00,9_32474422455
2024.08.14 01:00:00,9_31937026978
2024.08.14 02:00:00,9_29499912262
2024.08.14 03:00:00,9_28590869904
2024.08.14 04:00:00,9_28426742554
2024.08.14 05:00:00,9_28523921967
2024.08.14 06:00:00,9_28819465637
2024.08.14 07:00:00,9_29130458832
2024.08.14 08:00:00,9_29246044159
2024.08.14 09:00:00,9_29192638397
2024.08.14 10:00:00,9_29190444946
2024.08.14 11:00:00,9_29436779022
2024.08.14 12:00:00,9_29802036285
2024.08.14 13:00:00,9_29945850372
2024.08.14 14:00:00,9_29379844666
2024.08.14 15:00:00,9_29458999634
2024.08.14 16:00:00,9_29642486572
2024.08.14 17:00:00,9_29828643799
2024.08.14 18:00:00,9_30115032196
2024.08.14 19:00:00,9_30385112762
2024.08.14 20:00:00,9_30406761169
2024.08.14 21:00:00,9_30683898926
2024.08.14 22:00:00,9_31013202667
2024.08.14 23:00:00,9_31609725952
2024.08.15 00:00:00,9_32109355927
2024.08.15 01:00:00,9_32685470581
2024.08.15 02:00:00,9_33148384094
2024.08.15 03:00:00,9_33630847931
2024.08.15 04:00:00,9_34171104431
2024.08.15 05:00:00,9_34777641296
2024.08.15 06:00:00,9_35365962982
2024.08.15 07:00:00,9_35917758942
2024.08.15 08:00:00,9_36371231079
2024.08.15 09:00:00,9_36544704437
2024.08.15 10:00:00,9_3668718338
2024.08.15 11:00:00,9_36642360687
2024.08.15 12:00:00,9_36519050598
2024.08.15 13:00:00,9_36349105835
2024.08.15 14:00:00,9_36042785645
2024.08.15 15:00:00,9_3575630188
2024.08.15 16:00:00,9_35361671448
2024.08.15 17:00:00,9_35116958618
2024.08.15 18:00:00,9_34837245941
2024.08.15 19:00:00,9_34588432312
2024.08.15 20:00:00,9_34443664551
2024.08.15 21:00:00,9_34692573547
2024.08.15 22:00:00,9_35020160675
