Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.19 22:00:00,9_18542957306
2024.08.19 23:00:00,9_18441009521
2024.08.20 00:00:00,9_18394470215
2024.08.20 01:00:00,9_18190479279
2024.08.20 02:00:00,9_18465042114
2024.08.20 03:00:00,9_18619728088
2024.08.20 04:00:00,9_18235015869
2024.08.20 05:00:00,9_18076610565
2024.08.20 06:00:00,9_18556308746
2024.08.20 07:00:00,9_19240379333
2024.08.20 08:00:00,9_20000171661
2024.08.20 09:00:00,9_20510101318
2024.08.20 10:00:00,9_20827960968
2024.08.20 11:00:00,9_20952129364
2024.08.20 12:00:00,9_21199512482
2024.08.20 13:00:00,9_2136926651
2024.08.20 14:00:00,9_2127199173
2024.08.20 15:00:00,9_21211338043
2024.08.20 16:00:00,9_20886993408
2024.08.20 17:00:00,9_20762348175
2024.08.20 18:00:00,9_20566272736
2024.08.20 19:00:00,9_20442867279
2024.08.20 20:00:00,9_20443058014
2024.08.20 21:00:00,9_20488262177
2024.08.20 22:00:00,9_19595146179
2024.08.20 23:00:00,9_20203304291
2024.08.21 00:00:00,9_21263694763
2024.08.21 01:00:00,9_22745513916
2024.08.21 02:00:00,9_2425403595
2024.08.21 03:00:00,9_2501077652
2024.08.21 04:00:00,9_25422668457
2024.08.21 05:00:00,9_25759601593
2024.08.21 06:00:00,9_26047706604
2024.08.21 07:00:00,9_26292228699
2024.08.21 08:00:00,9_26175403595
2024.08.21 09:00:00,9_26054763794
2024.08.21 10:00:00,9_25900840759
2024.08.21 11:00:00,9_25680160522
2024.08.21 12:00:00,9_25248527527
2024.08.21 13:00:00,9_24625682831
2024.08.21 14:00:00,9_23943805695
2024.08.21 15:00:00,9_23192977905
2024.08.21 16:00:00,9_22334289551
2024.08.21 17:00:00,9_21536445618
2024.08.21 18:00:00,9_20939540863
2024.08.21 19:00:00,9_20416736603
2024.08.21 20:00:00,9_19872188568
2024.08.21 21:00:00,9_19355964661
2024.08.21 22:00:00,9_18991756439
2024.08.21 23:00:00,9_18867111206
2024.08.22 00:00:00,9_18997955322
2024.08.22 01:00:00,9_19132614136
2024.08.22 02:00:00,9_19124698639
2024.08.22 03:00:00,9_19030570984
2024.08.22 04:00:00,9_18967533112
2024.08.22 05:00:00,9_19088459015
2024.08.22 06:00:00,9_19425296783
2024.08.22 07:00:00,9_20003890991
2024.08.22 08:00:00,9_20997428894
2024.08.22 09:00:00,9_22316646576
2024.08.22 10:00:00,9_23565387726
2024.08.22 11:00:00,9_24452400208
2024.08.22 12:00:00,9_25069999695
2024.08.22 13:00:00,9_25420856476
2024.08.22 14:00:00,9_25357055664
2024.08.22 15:00:00,9_24847126007
2024.08.22 16:00:00,9_23881149292
2024.08.22 17:00:00,9_22618675232
2024.08.22 18:00:00,9_21454143524
2024.08.22 19:00:00,9_20351886749
2024.08.22 20:00:00,9_19347858429
2024.08.22 21:00:00,9_18482112885
