Time [yyyy.MM.dd HH:mm:ss],OXY [g/m3]
2024.08.10 10:00:00,9_25901699066
2024.08.10 11:00:00,9_2730512619
2024.08.10 12:00:00,9_27687263489
2024.08.10 13:00:00,9_24752616882
2024.08.10 14:00:00,9_21118831635
2024.08.10 15:00:00,9_20487213135
2024.08.10 16:00:00,9_20137023926
2024.08.10 17:00:00,9_23350143433
2024.08.10 18:00:00,9_2367105484
2024.08.10 19:00:00,9_24067401886
2024.08.10 20:00:00,9_2342042923
2024.08.10 21:00:00,9_2392578125
2024.08.10 22:00:00,9_24628067017
2024.08.10 23:00:00,9_24416732788
2024.08.11 00:00:00,9_25295162201
2024.08.11 01:00:00,9_25425338745
2024.08.11 02:00:00,9_26062107086
2024.08.11 03:00:00,9_26410198212
2024.08.11 04:00:00,9_2696685791
2024.08.11 05:00:00,9_26976013184
2024.08.11 06:00:00,9_2713842392
2024.08.11 07:00:00,9_26937007904
2024.08.11 08:00:00,9_26922225952
2024.08.11 09:00:00,9_25858306885
2024.08.11 10:00:00,9_2496547699
2024.08.11 11:00:00,9_24686050415
2024.08.11 12:00:00,9_24258136749
2024.08.11 13:00:00,9_22833824158
2024.08.11 14:00:00,9_21797275543
2024.08.11 15:00:00,9_18546009064
2024.08.11 16:00:00,9_1909122467
2024.08.11 17:00:00,9_1843996048
2024.08.11 18:00:00,9_19245815277
2024.08.11 19:00:00,9_19912624359
2024.08.11 20:00:00,9_2001285553
2024.08.11 21:00:00,9_20457077026
2024.08.11 22:00:00,9_21098804474
2024.08.11 23:00:00,9_21321392059
2024.08.12 00:00:00,9_22286701202
2024.08.12 01:00:00,9_22299766541
2024.08.12 02:00:00,9_22598361969
2024.08.12 03:00:00,9_22327518463
2024.08.12 04:00:00,9_23134899139
2024.08.12 05:00:00,9_23279094696
2024.08.12 06:00:00,9_23539829254
2024.08.12 07:00:00,9_23377132416
2024.08.12 08:00:00,9_21574401855
2024.08.12 09:00:00,9_20118999481
2024.08.12 10:00:00,9_19385433197
2024.08.12 11:00:00,9_16213798523
2024.08.12 12:00:00,9_18001842499
2024.08.12 13:00:00,9_16125679016
2024.08.12 14:00:00,9_18336296082
2024.08.12 15:00:00,9_12882614136
2024.08.12 16:00:00,9_12135887146
2024.08.12 17:00:00,9_15847492218
2024.08.12 18:00:00,9_16065311432
2024.08.12 19:00:00,9_16181564331
2024.08.12 20:00:00,9_16097164154
2024.08.12 21:00:00,9_17409324646
2024.08.12 22:00:00,9_15390396118
2024.08.12 23:00:00,9_17022418976
2024.08.13 00:00:00,9_17186737061
2024.08.13 01:00:00,9_17492866516
2024.08.13 02:00:00,9_1907453537
2024.08.13 03:00:00,9_18418693542
2024.08.13 04:00:00,9_17953109741
2024.08.13 05:00:00,9_19424533844
2024.08.13 06:00:00,9_2030954361
2024.08.13 07:00:00,9_1969537735
2024.08.13 08:00:00,9_19637298584
2024.08.13 09:00:00,9_15537261963
2024.08.13 10:00:00,9_15484428406
2024.08.13 11:00:00,9_15923786163
2024.08.13 12:00:00,9_15561676025
2024.08.13 13:00:00,9_16121482849
2024.08.13 14:00:00,9_14896297455
2024.08.13 15:00:00,9_13978004456
2024.08.13 16:00:00,9_07935428619
2024.08.13 17:00:00,9_04104614258
2024.08.13 18:00:00,9_08573150635
2024.08.13 19:00:00,9_10569763184
2024.08.13 20:00:00,9_11702823639
2024.08.13 21:00:00,9_12592220306
2024.08.13 22:00:00,9_1261177063
2024.08.13 23:00:00,9_12186431885
2024.08.14 00:00:00,9_12878704071
2024.08.14 01:00:00,9_13404083252
2024.08.14 02:00:00,9_04527759552
2024.08.14 03:00:00,9_0775270462
2024.08.14 04:00:00,9_09958267212
2024.08.14 05:00:00,9_11911869049
2024.08.14 06:00:00,9_1248664856
2024.08.14 07:00:00,9_13889026642
2024.08.14 08:00:00,9_14079189301
2024.08.14 09:00:00,9_13897609711
2024.08.14 10:00:00,9_13915252686
2024.08.14 11:00:00,9_15122509003
2024.08.14 12:00:00,9_15541934967
2024.08.14 13:00:00,9_1530790329
2024.08.14 14:00:00,9_12685394287
2024.08.14 15:00:00,9_15327453613
2024.08.14 16:00:00,9_14639949799
2024.08.14 17:00:00,9_14853954315
2024.08.14 18:00:00,9_15504646301
2024.08.14 19:00:00,9_16007232666
2024.08.14 20:00:00,9_1608839035
2024.08.14 21:00:00,9_16985988617
2024.08.14 22:00:00,9_17096614838
2024.08.14 23:00:00,9_1830034256
2024.08.15 00:00:00,9_19013023376
2024.08.15 01:00:00,9_19644165039
2024.08.15 02:00:00,9_19820976257
2024.08.15 03:00:00,9_20780754089
2024.08.15 04:00:00,9_20722961426
2024.08.15 05:00:00,9_21580791473
2024.08.15 06:00:00,9_21687698364
2024.08.15 07:00:00,9_21556377411
2024.08.15 08:00:00,9_21405982971
2024.08.15 09:00:00,9_20527267456
2024.08.15 10:00:00,9_20578956604
2024.08.15 11:00:00,9_19408226013
2024.08.15 12:00:00,9_20061016083
2024.08.15 13:00:00,9_19814300537
2024.08.15 14:00:00,9_18954658508
2024.08.15 15:00:00,9_20001983643
2024.08.15 16:00:00,9_19104766846
2024.08.15 17:00:00,9_19263744354
2024.08.15 18:00:00,9_18775463104
2024.08.15 19:00:00,9_19088554382
2024.08.15 20:00:00,9_18834209442
2024.08.15 21:00:00,9_1967010498
2024.08.15 22:00:00,9_20023822784
2024.08.15 23:00:00,9_202501297
2024.08.16 00:00:00,9_20372867584
2024.08.16 01:00:00,9_20353794098
2024.08.16 02:00:00,9_20866584778
2024.08.16 03:00:00,9_20756053925
2024.08.16 04:00:00,9_20874881744
2024.08.16 05:00:00,9_20950126648
2024.08.16 06:00:00,9_20887565613
2024.08.16 07:00:00,9_2088842392
2024.08.16 08:00:00,9_20503139496
2024.08.16 09:00:00,9_19693565369
2024.08.16 10:00:00,9_18860912323
2024.08.16 11:00:00,9_1775894165
2024.08.16 12:00:00,9_17704105377
2024.08.16 13:00:00,9_1791305542
2024.08.16 14:00:00,9_18302154541
2024.08.16 15:00:00,9_17691993713
2024.08.16 16:00:00,9_17393779755
2024.08.16 17:00:00,9_17187595367
2024.08.16 18:00:00,9_17259120941
2024.08.16 19:00:00,9_17778491974
2024.08.16 20:00:00,9_18407058716
2024.08.16 21:00:00,9_18972301483
2024.08.16 22:00:00,9_19458961487
2024.08.16 23:00:00,9_19918632507
2024.08.17 00:00:00,9_19975376129
2024.08.17 01:00:00,9_20390510559
2024.08.17 02:00:00,9_2053527832
2024.08.17 03:00:00,9_20417690277
2024.08.17 04:00:00,9_20347595215
2024.08.17 05:00:00,9_20398807526
2024.08.17 06:00:00,9_20139694214
2024.08.17 07:00:00,9_18947029114
2024.08.17 08:00:00,9_16944885254
2024.08.17 09:00:00,9_17018222809
2024.08.17 10:00:00,9_17017841339
2024.08.17 11:00:00,9_17821884155
2024.08.17 12:00:00,9_1733789444
2024.08.17 13:00:00,9_17290496826
2024.08.17 14:00:00,9_15788841248
