Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.12 13:00:00,3_27915076923E-05
2024.08.12 14:00:00,3_27094785462E-05
2024.08.12 15:00:00,3_24731008732E-05
2024.08.12 16:00:00,3_24104112224E-05
2024.08.12 17:00:00,3_24082575389E-05
2024.08.12 18:00:00,3_23268504872E-05
2024.08.12 19:00:00,3_2224044844E-05
2024.08.12 20:00:00,3_21393163176E-05
2024.08.12 21:00:00,3_20744329656E-05
2024.08.12 22:00:00,3_19135397149E-05
2024.08.12 23:00:00,3_19007558574E-05
2024.08.13 00:00:00,3_18317142955E-05
2024.08.13 01:00:00,3_17637859553E-05
2024.08.13 02:00:00,3_17142039421E-05
2024.08.13 03:00:00,3_16377809213E-05
2024.08.13 04:00:00,3_15639626933E-05
2024.08.13 05:00:00,3_15067045449E-05
2024.08.13 06:00:00,3_14449534926E-05
2024.08.13 07:00:00,3_13605487463E-05
2024.08.13 08:00:00,3_12761003443E-05
2024.08.13 09:00:00,3_11519470415E-05
2024.08.13 10:00:00,3_10756986437E-05
2024.08.13 11:00:00,3_10076138703E-05
2024.08.13 12:00:00,3_09219722112E-05
2024.08.13 13:00:00,3_08605121973E-05
2024.08.13 14:00:00,3_07778645947E-05
2024.08.13 15:00:00,3_07045556838E-05
2024.08.13 16:00:00,3_04607892758E-05
2024.08.13 17:00:00,3_02503995044E-05
2024.08.13 18:00:00,3_02884673147E-05
2024.08.13 19:00:00,3_02838452626E-05
2024.08.13 20:00:00,3_02526768792E-05
2024.08.13 21:00:00,3_02063835989E-05
2024.08.13 22:00:00,3_01510717691E-05
2024.08.13 23:00:00,3_00945303024E-05
2024.08.14 00:00:00,3_00454812532E-05
2024.08.14 01:00:00,2_99800703942E-05
2024.08.14 02:00:00,2_9620825444E-05
2024.08.14 03:00:00,2_96357848129E-05
2024.08.14 04:00:00,2_9629756682E-05
2024.08.14 05:00:00,2_96155430988E-05
2024.08.14 06:00:00,2_9564347642E-05
2024.08.14 07:00:00,2_9520911994E-05
2024.08.14 08:00:00,2_94466153719E-05
2024.08.14 09:00:00,2_93552293442E-05
2024.08.14 10:00:00,2_92714576062E-05
2024.08.14 11:00:00,2_92154254566E-05
2024.08.14 12:00:00,2_91425203613E-05
2024.08.14 13:00:00,2_90385905828E-05
2024.08.14 14:00:00,2_8863456464E-05
2024.08.14 15:00:00,2_88376431854E-05
2024.08.14 16:00:00,2_87510520138E-05
2024.08.14 17:00:00,2_86602953565E-05
2024.08.14 18:00:00,2_86026570393E-05
2024.08.14 19:00:00,2_85417427222E-05
