Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.14 07:00:00,1_41262850306E-08
2024.08.14 08:00:00,1_43488856352E-08
2024.08.14 09:00:00,1_45548897379E-08
2024.08.14 10:00:00,1_47570204945E-08
2024.08.14 11:00:00,1_49695615903E-08
2024.08.14 12:00:00,1_5176148338E-08
2024.08.14 13:00:00,1_53707286898E-08
2024.08.14 14:00:00,1_55391841616E-08
2024.08.14 15:00:00,1_5769071382E-08
2024.08.14 16:00:00,1_59666271315E-08
2024.08.14 17:00:00,1_6152185367E-08
2024.08.14 18:00:00,1_63781272988E-08
2024.08.14 19:00:00,1_66137485991E-08
2024.08.14 20:00:00,1_68490643659E-08
2024.08.14 21:00:00,1_71047656039E-08
2024.08.14 22:00:00,1_73621188537E-08
2024.08.14 23:00:00,1_76437033872E-08
2024.08.15 00:00:00,1_79305956749E-08
2024.08.15 01:00:00,1_8230313259E-08
2024.08.15 02:00:00,1_85407138531E-08
2024.08.15 03:00:00,1_8872558627E-08
2024.08.15 04:00:00,1_91999145471E-08
2024.08.15 05:00:00,1_95381115731E-08
2024.08.15 06:00:00,1_98680965013E-08
2024.08.15 07:00:00,2_01504199993E-08
2024.08.15 08:00:00,2_0416758062E-08
2024.08.15 09:00:00,2_06983621354E-08
2024.08.15 10:00:00,2_10303632286E-08
2024.08.15 11:00:00,2_13824158379E-08
2024.08.15 12:00:00,2_17545466086E-08
2024.08.15 13:00:00,2_23674732069E-08
2024.08.15 14:00:00,2_29598153823E-08
2024.08.15 15:00:00,2_36325394809E-08
2024.08.15 16:00:00,2_4090379469E-08
2024.08.15 17:00:00,2_43671980371E-08
2024.08.15 18:00:00,2_4536998211E-08
2024.08.15 19:00:00,2_47187603719E-08
2024.08.15 20:00:00,2_49662388541E-08
2024.08.15 21:00:00,2_52454981364E-08
2024.08.15 22:00:00,2_55229171131E-08
2024.08.15 23:00:00,2_57993395536E-08
2024.08.16 00:00:00,2_61098396237E-08
2024.08.16 01:00:00,2_64420751961E-08
2024.08.16 02:00:00,2_67940620802E-08
2024.08.16 03:00:00,2_71620290704E-08
2024.08.16 04:00:00,2_75478519995E-08
2024.08.16 05:00:00,2_79273439929E-08
2024.08.16 06:00:00,2_83152097325E-08
2024.08.16 07:00:00,2_87096408869E-08
2024.08.16 08:00:00,2_90814821113E-08
2024.08.16 09:00:00,2_94276620849E-08
2024.08.16 10:00:00,2_97651769898E-08
2024.08.16 11:00:00,3_00792031283E-08
2024.08.16 12:00:00,3_03967233606E-08
2024.08.16 13:00:00,3_07205674233E-08
2024.08.16 14:00:00,3_11061434388E-08
2024.08.16 15:00:00,3_15348209767E-08
2024.08.16 16:00:00,3_1997554828E-08
2024.08.16 17:00:00,3_24793241191E-08
2024.08.16 18:00:00,3_30068914423E-08
2024.08.16 19:00:00,3_35219176861E-08
2024.08.16 20:00:00,3_40380417185E-08
2024.08.16 21:00:00,3_45893376164E-08
2024.08.16 22:00:00,3_51552742472E-08
2024.08.16 23:00:00,3_57325653511E-08
2024.08.17 00:00:00,3_63246357438E-08
2024.08.17 01:00:00,3_69365729114E-08
2024.08.17 02:00:00,3_75797526431E-08
2024.08.17 03:00:00,3_82504872221E-08
2024.08.17 04:00:00,3_89458989503E-08
2024.08.17 05:00:00,3_96704464833E-08
2024.08.17 06:00:00,4_04271318644E-08
2024.08.17 07:00:00,4_12170528818E-08
2024.08.17 08:00:00,4_21351487034E-08
2024.08.17 09:00:00,4_30342907976E-08
2024.08.17 10:00:00,4_35090505846E-08
2024.08.17 11:00:00,4_41388969818E-08
2024.08.17 12:00:00,4_49058994434E-08
2024.08.17 13:00:00,4_58075248844E-08
2024.08.17 14:00:00,4_680154575E-08
2024.08.17 15:00:00,4_76597392662E-08
2024.08.17 16:00:00,4_82210964492E-08
2024.08.17 17:00:00,4_88190821102E-08
2024.08.17 18:00:00,4_95047807192E-08
2024.08.17 19:00:00,5_02876034147E-08
2024.08.17 20:00:00,5_11782012325E-08
2024.08.17 21:00:00,5_21817327126E-08
2024.08.17 22:00:00,5_31326662667E-08
2024.08.17 23:00:00,5_41177058722E-08
2024.08.18 00:00:00,5_51435483942E-08
2024.08.18 01:00:00,5_61933504173E-08
2024.08.18 02:00:00,5_7203276782E-08
2024.08.18 03:00:00,5_83242396601E-08
2024.08.18 04:00:00,5_94932885178E-08
2024.08.18 05:00:00,6_08056254237E-08
2024.08.18 06:00:00,6_22401472583E-08
2024.08.18 07:00:00,6_37343688936E-08
2024.08.18 08:00:00,6_52924256883E-08
2024.08.18 09:00:00,6_67624675543E-08
2024.08.18 10:00:00,6_80430929378E-08
2024.08.18 11:00:00,6_94225477105E-08
2024.08.18 12:00:00,7_05526304046E-08
2024.08.18 13:00:00,7_16408976587E-08
2024.08.18 14:00:00,7_26839743947E-08
2024.08.18 15:00:00,7_38374410503E-08
2024.08.18 16:00:00,7_50188959842E-08
2024.08.18 17:00:00,7_63679821603E-08
2024.08.18 18:00:00,7_787291878E-08
2024.08.18 19:00:00,7_95274104348E-08
2024.08.18 20:00:00,8_12850942111E-08
2024.08.18 21:00:00,8_30225417303E-08
