Time [yyyy.MM.dd HH:mm:ss],NO3 [gN/m3]
2024.08.13 03:00:00,3_16753867082E-05
2024.08.13 04:00:00,3_15622164635E-05
2024.08.13 05:00:00,3_14918652293E-05
2024.08.13 06:00:00,3_14190438075E-05
2024.08.13 07:00:00,3_13223608828E-05
2024.08.13 08:00:00,3_12398515234E-05
2024.08.13 09:00:00,3_11178191623E-05
2024.08.13 10:00:00,3_09697716148E-05
2024.08.13 11:00:00,3_0888357287E-05
2024.08.13 12:00:00,3_07564150717E-05
2024.08.13 13:00:00,3_07448135572E-05
2024.08.13 14:00:00,3_07248374156E-05
2024.08.13 15:00:00,3_06743859255E-05
2024.08.13 16:00:00,3_04663008137E-05
2024.08.13 17:00:00,3_02774369629E-05
2024.08.13 18:00:00,3_0361032259E-05
2024.08.13 19:00:00,3_04222139675E-05
2024.08.13 20:00:00,3_03859760606E-05
2024.08.13 21:00:00,3_03395754599E-05
2024.08.13 22:00:00,3_02837379422E-05
2024.08.13 23:00:00,3_01832224068E-05
2024.08.14 00:00:00,3_0093582609E-05
2024.08.14 01:00:00,3_00076517306E-05
2024.08.14 02:00:00,2_9540480682E-05
2024.08.14 03:00:00,2_9668373827E-05
2024.08.14 04:00:00,2_96959788102E-05
2024.08.14 05:00:00,2_96408088616E-05
2024.08.14 06:00:00,2_95753543469E-05
2024.08.14 07:00:00,2_95274548989E-05
2024.08.14 08:00:00,2_94375804515E-05
2024.08.14 09:00:00,2_93675075227E-05
2024.08.14 10:00:00,2_92928707495E-05
2024.08.14 11:00:00,2_92336844723E-05
2024.08.14 12:00:00,2_91830183414E-05
2024.08.14 13:00:00,2_90906627924E-05
2024.08.14 14:00:00,2_89210256597E-05
2024.08.14 15:00:00,2_89555573545E-05
2024.08.14 16:00:00,2_88695773634E-05
2024.08.14 17:00:00,2_8746384487E-05
2024.08.14 18:00:00,2_8704851502E-05
2024.08.14 19:00:00,2_86614013021E-05
2024.08.14 20:00:00,2_85555397568E-05
2024.08.14 21:00:00,2_85351779894E-05
2024.08.14 22:00:00,2_84617162833E-05
2024.08.14 23:00:00,2_84315374302E-05
2024.08.15 00:00:00,2_83964618575E-05
2024.08.15 01:00:00,2_8361355362E-05
2024.08.15 02:00:00,2_82921901089E-05
2024.08.15 03:00:00,2_82363089354E-05
2024.08.15 04:00:00,2_81847678707E-05
2024.08.15 05:00:00,2_81449447357E-05
2024.08.15 06:00:00,2_80866624962E-05
2024.08.15 07:00:00,2_80183921859E-05
2024.08.15 08:00:00,2_79409468931E-05
2024.08.15 09:00:00,2_78541810985E-05
2024.08.15 10:00:00,2_78175448329E-05
2024.08.15 11:00:00,2_77281415038E-05
2024.08.15 12:00:00,2_76918344753E-05
2024.08.15 13:00:00,2_76609316643E-05
2024.08.15 14:00:00,2_76558603218E-05
2024.08.15 15:00:00,2_75929651252E-05
2024.08.15 16:00:00,2_75830043392E-05
2024.08.15 17:00:00,2_7539095754E-05
2024.08.15 18:00:00,2_7453781513E-05
2024.08.15 19:00:00,2_73908262898E-05
2024.08.15 20:00:00,2_73300065601E-05
2024.08.15 21:00:00,2_7314745239E-05
2024.08.15 22:00:00,2_72595443676E-05
2024.08.15 23:00:00,2_72429188044E-05
2024.08.16 00:00:00,2_72178258456E-05
2024.08.16 01:00:00,2_71571952908E-05
2024.08.16 02:00:00,2_71385815722E-05
2024.08.16 03:00:00,2_70944838121E-05
2024.08.16 04:00:00,2_70549226116E-05
2024.08.16 05:00:00,2_70099044428E-05
2024.08.16 06:00:00,2_69547908829E-05
2024.08.16 07:00:00,2_69104020845E-05
2024.08.16 08:00:00,2_6842850275E-05
2024.08.16 09:00:00,2_67532122962E-05
2024.08.16 10:00:00,2_66648567049E-05
2024.08.16 11:00:00,2_65235321422E-05
2024.08.16 12:00:00,2_64089558186E-05
2024.08.16 13:00:00,2_63218753389E-05
2024.08.16 14:00:00,2_63292877207E-05
2024.08.16 15:00:00,2_63555757556E-05
2024.08.16 16:00:00,2_63892943622E-05
2024.08.16 17:00:00,2_64101618086E-05
2024.08.16 18:00:00,2_64319205598E-05
2024.08.16 19:00:00,2_6446477932E-05
2024.08.16 20:00:00,2_64492828137E-05
2024.08.16 21:00:00,2_64485624939E-05
2024.08.16 22:00:00,2_64319387497E-05
2024.08.16 23:00:00,2_64152240561E-05
2024.08.17 00:00:00,2_63812944468E-05
2024.08.17 01:00:00,2_63667498075E-05
2024.08.17 02:00:00,2_63428755716E-05
2024.08.17 03:00:00,2_63132042164E-05
2024.08.17 04:00:00,2_62851553998E-05
2024.08.17 05:00:00,2_6265213819E-05
2024.08.17 06:00:00,2_62300382019E-05
2024.08.17 07:00:00,2_61618497461E-05
2024.08.17 08:00:00,2_60372380581E-05
2024.08.17 09:00:00,2_59708012891E-05
2024.08.17 10:00:00,2_58607942669E-05
2024.08.17 11:00:00,2_58590735029E-05
2024.08.17 12:00:00,2_58778200077E-05
2024.08.17 13:00:00,2_59053776972E-05
2024.08.17 14:00:00,2_59198513959E-05
2024.08.17 15:00:00,2_59189564531E-05
2024.08.17 16:00:00,2_59040498349E-05
2024.08.17 17:00:00,2_58841009781E-05
2024.08.17 18:00:00,2_58750642388E-05
2024.08.17 19:00:00,2_58507498074E-05
2024.08.17 20:00:00,2_58250474872E-05
2024.08.17 21:00:00,2_5812198146E-05
2024.08.17 22:00:00,2_57791471086E-05
2024.08.17 23:00:00,2_57534356933E-05
2024.08.18 00:00:00,2_57284191321E-05
2024.08.18 01:00:00,2_57145002251E-05
2024.08.18 02:00:00,2_56997045653E-05
2024.08.18 03:00:00,2_56836356129E-05
2024.08.18 04:00:00,2_56657476712E-05
2024.08.18 05:00:00,2_56485855061E-05
2024.08.18 06:00:00,2_56230487139E-05
2024.08.18 07:00:00,2_5555220418E-05
2024.08.18 08:00:00,2_55480936175E-05
2024.08.18 09:00:00,2_55289778579E-05
2024.08.18 10:00:00,2_54655005847E-05
2024.08.18 11:00:00,2_54706374108E-05
2024.08.18 12:00:00,2_54512142419E-05
2024.08.18 13:00:00,2_54311526078E-05
2024.08.18 14:00:00,2_54113292613E-05
2024.08.18 15:00:00,2_54125898209E-05
2024.08.18 16:00:00,2_54003589362E-05
2024.08.18 17:00:00,2_53861908277E-05
2024.08.18 18:00:00,2_53718662862E-05
2024.08.18 19:00:00,2_53373600572E-05
2024.08.18 20:00:00,2_53423950198E-05
2024.08.18 21:00:00,2_53102552961E-05
2024.08.18 22:00:00,2_52930367424E-05
2024.08.18 23:00:00,2_5232326152E-05
2024.08.19 00:00:00,2_52528661804E-05
2024.08.19 01:00:00,2_51340097748E-05
2024.08.19 02:00:00,2_49621152761E-05
2024.08.19 03:00:00,2_50799985224E-05
2024.08.19 04:00:00,2_5089681003E-05
2024.08.19 05:00:00,2_50857556239E-05
2024.08.19 06:00:00,2_5013298E-05
2024.08.19 07:00:00,2_50295306614E-05
2024.08.19 08:00:00,2_50181510637E-05
2024.08.19 09:00:00,2_49814675044E-05
2024.08.19 10:00:00,2_49653348874E-05
2024.08.19 11:00:00,2_49186741712E-05
2024.08.19 12:00:00,2_48979849857E-05
2024.08.19 13:00:00,2_48960677709E-05
2024.08.19 14:00:00,2_48787855526E-05
2024.08.19 15:00:00,2_48717478826E-05
2024.08.19 16:00:00,2_48866490438E-05
2024.08.19 17:00:00,2_485863115E-05
2024.08.19 18:00:00,2_48388696491E-05
2024.08.19 19:00:00,2_47828884312E-05
2024.08.19 20:00:00,2_47636162385E-05
2024.08.19 21:00:00,2_47317220783E-05
2024.08.19 22:00:00,2_47227162617E-05
2024.08.19 23:00:00,2_47078514803E-05
2024.08.20 00:00:00,2_4689543352E-05
2024.08.20 01:00:00,2_46532144956E-05
2024.08.20 02:00:00,2_46450290433E-05
2024.08.20 03:00:00,2_45911578531E-05
2024.08.20 04:00:00,2_45206538239E-05
2024.08.20 05:00:00,2_45017708949E-05
2024.08.20 06:00:00,2_45216779149E-05
2024.08.20 07:00:00,2_45011051447E-05
2024.08.20 08:00:00,2_44857128564E-05
2024.08.20 09:00:00,2_44577913691E-05
2024.08.20 10:00:00,2_44338916673E-05
2024.08.20 11:00:00,2_43981630774E-05
2024.08.20 12:00:00,2_43727463385E-05
2024.08.20 13:00:00,2_43579670496E-05
2024.08.20 14:00:00,2_43086542469E-05
2024.08.20 15:00:00,2_4312066671E-05
2024.08.20 16:00:00,2_42829210038E-05
2024.08.20 17:00:00,2_4300037694E-05
2024.08.20 18:00:00,2_42810656346E-05
2024.08.20 19:00:00,2_4271032089E-05
2024.08.20 20:00:00,2_42590085691E-05
2024.08.20 21:00:00,2_42326059379E-05
2024.08.20 22:00:00,2_40608933382E-05
2024.08.20 23:00:00,2_41655052378E-05
2024.08.21 00:00:00,2_41600791924E-05
2024.08.21 01:00:00,2_40979370574E-05
2024.08.21 02:00:00,2_41067245952E-05
2024.08.21 03:00:00,2_40893950831E-05
2024.08.21 04:00:00,2_40659865085E-05
2024.08.21 05:00:00,2_40457720793E-05
2024.08.21 06:00:00,2_40240897256E-05
2024.08.21 07:00:00,2_39944401983E-05
2024.08.21 08:00:00,2_39515047724E-05
2024.08.21 09:00:00,2_39122364292E-05
2024.08.21 10:00:00,2_38827196881E-05
2024.08.21 11:00:00,2_38642878685E-05
2024.08.21 12:00:00,2_38653883571E-05
2024.08.21 13:00:00,2_38591655943E-05
2024.08.21 14:00:00,2_3843433155E-05
2024.08.21 15:00:00,2_38108441408E-05
2024.08.21 16:00:00,2_38175944105E-05
2024.08.21 17:00:00,2_38098655245E-05
2024.08.21 18:00:00,2_37834537984E-05
2024.08.21 19:00:00,2_37801650655E-05
2024.08.21 20:00:00,2_37596068473E-05
2024.08.21 21:00:00,2_37417061726E-05
2024.08.21 22:00:00,2_3730643079E-05
2024.08.21 23:00:00,2_37146632571E-05
2024.08.22 00:00:00,2_37148906308E-05
2024.08.22 01:00:00,2_37163621932E-05
2024.08.22 02:00:00,2_37057156482E-05
2024.08.22 03:00:00,2_37030417338E-05
2024.08.22 04:00:00,2_36851956288E-05
2024.08.22 05:00:00,2_3668333597E-05
2024.08.22 06:00:00,2_36481118918E-05
2024.08.22 07:00:00,2_35981606238E-05
2024.08.22 08:00:00,2_35223214986E-05
2024.08.22 09:00:00,2_34393628489E-05
2024.08.22 10:00:00,2_33506234508E-05
2024.08.22 11:00:00,2_32633101405E-05
2024.08.22 12:00:00,2_32080565183E-05
2024.08.22 13:00:00,2_31185931625E-05
2024.08.22 14:00:00,2_30691512115E-05
2024.08.22 15:00:00,2_30938057939E-05
2024.08.22 16:00:00,2_31296016864E-05
2024.08.22 17:00:00,2_31529083976E-05
2024.08.22 18:00:00,2_31681351579E-05
2024.08.22 19:00:00,2_32191250689E-05
2024.08.22 20:00:00,2_32465827139E-05
2024.08.22 21:00:00,2_32430174947E-05
2024.08.22 22:00:00,2_32615802815E-05
2024.08.22 23:00:00,2_32711463468E-05
2024.08.23 00:00:00,2_32708098338E-05
2024.08.23 01:00:00,2_32723850786E-05
2024.08.23 02:00:00,2_32770944422E-05
2024.08.23 03:00:00,2_32757120102E-05
2024.08.23 04:00:00,2_32699039771E-05
2024.08.23 05:00:00,2_32569673244E-05
2024.08.23 06:00:00,2_32473139476E-05
2024.08.23 07:00:00,2_32230067923E-05
2024.08.23 08:00:00,2_31810936384E-05
2024.08.23 09:00:00,2_31529193115E-05
2024.08.23 10:00:00,2_31449666899E-05
2024.08.23 11:00:00,2_31371523114E-05
2024.08.23 12:00:00,2_31218364206E-05
2024.08.23 13:00:00,2_31230460486E-05
2024.08.23 14:00:00,2_30729929172E-05
2024.08.23 15:00:00,2_3079535822E-05
2024.08.23 16:00:00,2_30823279708E-05
2024.08.23 17:00:00,2_30887580983E-05
2024.08.23 18:00:00,2_30739115068E-05
2024.08.23 19:00:00,2_30474124692E-05
2024.08.23 20:00:00,2_30257755902E-05
2024.08.23 21:00:00,2_30023670156E-05
2024.08.23 22:00:00,2_30082532653E-05
2024.08.23 23:00:00,2_29961588047E-05
2024.08.24 00:00:00,2_29825436691E-05
2024.08.24 01:00:00,2_29669767577E-05
2024.08.24 02:00:00,2_29567576753E-05
2024.08.24 03:00:00,2_29408833547E-05
2024.08.24 04:00:00,2_29271336138E-05
2024.08.24 05:00:00,2_29108864005E-05
2024.08.24 06:00:00,2_2887283194E-05
2024.08.24 07:00:00,2_28656990657E-05
2024.08.24 08:00:00,2_28455537581E-05
2024.08.24 09:00:00,2_28265253099E-05
2024.08.24 10:00:00,2_28066182899E-05
2024.08.24 11:00:00,2_2820686354E-05
2024.08.24 12:00:00,2_28183198487E-05
2024.08.24 13:00:00,2_28013432206E-05
2024.08.24 14:00:00,2_27728705795E-05
2024.08.24 15:00:00,2_27501877816E-05
2024.08.24 16:00:00,2_27789296332E-05
2024.08.24 17:00:00,2_27776345127E-05
2024.08.24 18:00:00,2_27417403948E-05
2024.08.24 19:00:00,2_2687638193E-05
2024.08.24 20:00:00,2_24852046813E-05
2024.08.24 21:00:00,2_237282024E-05
2024.08.24 22:00:00,2_23991355597E-05
2024.08.24 23:00:00,2_23917304538E-05
2024.08.25 00:00:00,2_23226343223E-05
2024.08.25 01:00:00,2_23018505494E-05
2024.08.25 02:00:00,2_22802045755E-05
2024.08.25 03:00:00,2_22366415983E-05
2024.08.25 04:00:00,2_21719546971E-05
2024.08.25 05:00:00,2_2123740564E-05
2024.08.25 06:00:00,2_20416386583E-05
2024.08.25 07:00:00,2_19685298362E-05
2024.08.25 08:00:00,2_18934328586E-05
2024.08.25 09:00:00,2_17728083953E-05
2024.08.25 10:00:00,2_16124808503E-05
2024.08.25 11:00:00,2_14971223613E-05
2024.08.25 12:00:00,2_13986841118E-05
2024.08.25 13:00:00,2_13006696868E-05
2024.08.25 14:00:00,2_12163868127E-05
2024.08.25 15:00:00,2_12062877836E-05
2024.08.25 16:00:00,2_11666829273E-05
2024.08.25 17:00:00,2_11519491131E-05
2024.08.25 18:00:00,2_11454043892E-05
2024.08.25 19:00:00,2_11228034459E-05
2024.08.25 20:00:00,2_11062051676E-05
2024.08.25 21:00:00,2_10836751648E-05
2024.08.25 22:00:00,2_10641483136E-05
2024.08.25 23:00:00,2_10544894799E-05
2024.08.26 00:00:00,2_10384441743E-05
2024.08.26 01:00:00,2_10267189686E-05
2024.08.26 02:00:00,2_10035886994E-05
2024.08.26 03:00:00,2_09931458812E-05
2024.08.26 04:00:00,2_09794707189E-05
2024.08.26 05:00:00,2_096366552E-05
2024.08.26 06:00:00,2_09512509173E-05
2024.08.26 07:00:00,2_09092813748E-05
2024.08.26 08:00:00,2_08195524465E-05
2024.08.26 09:00:00,2_06903569051E-05
2024.08.26 10:00:00,2_04022198886E-05
2024.08.26 11:00:00,2_00430113182E-05
2024.08.26 12:00:00,1_97871795535E-05
2024.08.26 13:00:00,1_9664188585E-05
2024.08.26 14:00:00,1_95467473532E-05
2024.08.26 15:00:00,1_94620552065E-05
